ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 13:35:57 759m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.9670494
1 2E-8 2.7778333
2 4E-8 2.2885672
3 6E-8 0.19770345
4 8E-8 -2.2586121
5 1E-7 1.2501248
6 1.2E-7 -2.4802796
7 1.4E-7 1.1582626
8 1.6E-7 -1.4957564
9 1.8E-7 0.59510734
10 2E-7 -0.5312032
11 2.2E-7 -0.047928108
12 2.4E-7 -0.0019970045
13 2.6E-7 -0.27758362
14 2.8E-7 0.18771842
15 3E-7 -0.28357464
16 3.2E-7 0.1318023
17 3.4E-7 -0.16575137
18 3.6E-7 0.013979031
19 3.8E-7 -0.029955067
20 4E-7 -0.05791313
21 4.2E-7 -0.0059910135
22 4.4E-7 -0.065901148
23 4.6E-7 -0.003994009
24 4.8E-7 -0.021967049
25 5E-7 0.011982027
26 5.2E-7 0.011982027
27 5.4E-7 0.011982027
28 5.6E-7 0.021967049
29 5.8E-7 0.0059910135
30 6E-7 0.035946081
31 6.2E-7 0.013979031
32 6.4E-7 -0.011982027
33 6.6E-7 -0.021967049
34 6.8E-7 -0.011982027
35 7E-7 0.019970045
36 7.2E-7 0.065901148
37 7.4E-7 0.11782327
38 7.6E-7 0.067898153
39 7.8E-7 0.027958063
40 8E-7 0.041937094
41 8.2E-7 0.01797304
42 8.4E-7 0.055916126
43 8.6E-7 0.003994009
44 8.8E-7 0.045931103
45 9E-7 -0.007988018
46 9.2E-7 0.035946081
47 9.4E-7 0.0059910135
48 9.6E-7 0.007988018
49 9.8E-7 0.011982027
50 1E-6 -0.003994009
51 1.02E-6 -0.003994009
52 1.04E-6 -0.007988018
53 1.06E-6 -0.011982027
54 1.08E-6 -0.011982027
55 1.1E-6 -0.011982027
56 1.12E-6 -0.019970045
57 1.14E-6 -0.023964054
58 1.16E-6 -0.01797304
59 1.18E-6 -0.025961058
60 1.2E-6 -0.025961058
61 1.22E-6 -0.023964054
62 1.24E-6 -0.025961058
63 1.26E-6 -0.027958063
64 1.28E-6 -0.033949076
65 1.3E-6 -0.033949076
66 1.32E-6 -0.033949076
67 1.34E-6 -0.043934099
68 1.36E-6 -0.037943085
69 1.38E-6 -0.045931103
70 1.4E-6 -0.043934099
71 1.42E-6 -0.049925112
72 1.44E-6 -0.03994009
73 1.46E-6 -0.03994009
74 1.48E-6 -0.043934099
75 1.5E-6 -0.03994009
76 1.52E-6 -0.037943085
77 1.54E-6 -0.045931103
78 1.56E-6 -0.047928108
79 1.58E-6 -0.043934099
80 1.6E-6 -0.041937094
81 1.62E-6 -0.051922117
82 1.64E-6 -0.041937094
83 1.66E-6 -0.029955067
84 1.68E-6 -0.037943085
85 1.7E-6 -0.03994009
86 1.72E-6 -0.035946081
87 1.74E-6 -0.013979031
88 1.76E-6 -0.035946081
89 1.78E-6 -0.025961058
90 1.8E-6 -0.015976036
91 1.82E-6 -0.019970045
92 1.84E-6 -0.007988018
93 1.86E-6 -0.011982027
94 1.88E-6 -0.0059910135
95 1.9E-6 0.0019970045
96 1.92E-6 0.0019970045
97 1.94E-6 0
98 1.96E-6 -0.0019970045
99 1.98E-6 0
