ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 11:33:31 685m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.9750374
1 2E-8 2.8137793
2 4E-8 2.9216176
3 6E-8 1.6954568
4 8E-8 -2.9615577
5 1E-7 0.8447329
6 1.2E-7 -2.7638542
7 1.4E-7 0.19370944
8 1.6E-7 -1.2241638
9 1.8E-7 -0.3115327
10 2E-7 0.043934099
11 2.2E-7 -0.60309536
12 2.4E-7 0.14977534
13 2.6E-7 -0.50324513
14 2.8E-7 0.2675986
15 3E-7 -0.36345482
16 3.2E-7 0.16774838
17 3.4E-7 -0.16974538
18 3.6E-7 0
19 3.8E-7 -0.0099850225
20 4E-7 -0.059910135
21 4.2E-7 -0.011982027
22 4.4E-7 -0.031952072
23 4.6E-7 -0.035946081
24 4.8E-7 0
25 5E-7 0.011982027
26 5.2E-7 0.03994009
27 5.4E-7 0.029955067
28 5.6E-7 0.049925112
29 5.8E-7 0.0019970045
30 6E-7 0.059910135
31 6.2E-7 0.027958063
32 6.4E-7 -0.0019970045
33 6.6E-7 -0.033949076
34 6.8E-7 -0.029955067
35 7E-7 0.01797304
36 7.2E-7 0.071892162
37 7.4E-7 0.18172741
38 7.6E-7 0.15376935
39 7.8E-7 0.061907139
40 8E-7 0.069895157
41 8.2E-7 0.03994009
42 8.4E-7 0.077883175
43 8.6E-7 0.041937094
44 8.8E-7 0.059910135
45 9E-7 0.023964054
46 9.2E-7 0.035946081
47 9.4E-7 0.027958063
48 9.6E-7 0.015976036
49 9.8E-7 0.023964054
50 1E-6 -0.003994009
51 1.02E-6 0.0059910135
52 1.04E-6 -0.013979031
53 1.06E-6 -0.0099850225
54 1.08E-6 -0.021967049
55 1.1E-6 -0.021967049
56 1.12E-6 -0.027958063
57 1.14E-6 -0.035946081
58 1.16E-6 -0.03994009
59 1.18E-6 -0.035946081
60 1.2E-6 -0.037943085
61 1.22E-6 -0.043934099
62 1.24E-6 -0.047928108
63 1.26E-6 -0.047928108
64 1.28E-6 -0.053919121
65 1.3E-6 -0.053919121
66 1.32E-6 -0.055916126
67 1.34E-6 -0.059910135
68 1.36E-6 -0.065901148
69 1.38E-6 -0.065901148
70 1.4E-6 -0.067898153
71 1.42E-6 -0.067898153
72 1.44E-6 -0.073889166
73 1.46E-6 -0.065901148
74 1.48E-6 -0.069895157
75 1.5E-6 -0.075886171
76 1.52E-6 -0.075886171
77 1.54E-6 -0.075886171
78 1.56E-6 -0.075886171
79 1.58E-6 -0.075886171
80 1.6E-6 -0.077883175
81 1.62E-6 -0.073889166
82 1.64E-6 -0.073889166
83 1.66E-6 -0.053919121
84 1.68E-6 -0.067898153
85 1.7E-6 -0.059910135
86 1.72E-6 -0.065901148
87 1.74E-6 -0.061907139
88 1.76E-6 -0.047928108
89 1.78E-6 -0.049925112
90 1.8E-6 -0.049925112
91 1.82E-6 -0.037943085
92 1.84E-6 -0.037943085
93 1.86E-6 -0.037943085
94 1.88E-6 -0.013979031
95 1.9E-6 -0.019970045
96 1.92E-6 -0.0059910135
97 1.94E-6 -0.011982027
98 1.96E-6 -0.003994009
99 1.98E-6 0.003994009
