ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 09:59:01 897m





Sample number Relative time HS4D-50(28994).Ch1
  s V
-22 -4.4E-7 0.012133468
-21 -4.2E-7 0.0080889789
-20 -4E-7 0.012133468
-19 -3.8E-7 0.012133468
-18 -3.6E-7 0.012133468
-17 -3.4E-7 0.012133468
-16 -3.2E-7 0.0080889789
-15 -3E-7 0.012133468
-14 -2.8E-7 -0.0080889789
-13 -2.6E-7 -0.0080889789
-12 -2.4E-7 -0.0040444895
-11 -2.2E-7 0
-10 -2E-7 0.020222447
-9 -1.8E-7 0.028311426
-8 -1.6E-7 0.024266937
-7 -1.4E-7 -0.032355916
-6 -1.2E-7 -0.55813955
-5 -1E-7 -2.4711831
-4 -8E-8 -2.511628
-3 -6E-8 -2.2649141
-2 -4E-8 -3.8099091
-1 -2E-8 -1.6703742
0 0 1.1001011
1 2E-8 1.9817998
2 4E-8 1.8887766
3 6E-8 0.89787666
4 8E-8 -0.51365016
5 1E-7 -1.9211325
6 1.2E-7 -2.1718908
7 1.4E-7 -2.1759353
8 1.6E-7 -2.2527806
9 1.8E-7 -2.1638019
10 2E-7 -1.6339737
11 2.2E-7 -1.1931244
12 2.4E-7 -0.67542974
13 2.6E-7 -0.40444895
14 2.8E-7 -0.31951467
15 3E-7 -0.16986856
16 3.2E-7 -0.093023258
17 3.4E-7 0.024266937
18 3.6E-7 -0.016177958
19 3.8E-7 -0.080889789
20 4E-7 -0.12942366
21 4.2E-7 -0.15773509
22 4.4E-7 -0.10515673
23 4.6E-7 0.0040444895
24 4.8E-7 0.13346815
25 5E-7 0.20222447
26 5.2E-7 0.21435794
27 5.4E-7 0.19009101
28 5.6E-7 0.1536906
29 5.8E-7 0.10515673
30 6E-7 0.10515673
31 6.2E-7 0.16177958
32 6.4E-7 0.25480284
33 6.6E-7 0.33973712
34 6.8E-7 0.40444895
35 7E-7 0.40444895
36 7.2E-7 0.44489384
37 7.4E-7 0.43276037
38 7.6E-7 0.44084935
39 7.8E-7 0.42871588
40 8E-7 0.39635997
41 8.2E-7 0.33164814
42 8.4E-7 0.24266937
43 8.6E-7 0.18604652
44 8.8E-7 0.16582407
45 9E-7 0.16986856
46 9.2E-7 0.18604652
47 9.4E-7 0.16986856
48 9.6E-7 0.12942366
49 9.8E-7 0.068756321
50 1E-6 0.0040444895
51 1.02E-6 -0.056622853
52 1.04E-6 -0.080889789
53 1.06E-6 -0.10111224
54 1.08E-6 -0.12133468
55 1.1E-6 -0.16582407
56 1.12E-6 -0.19817998
57 1.14E-6 -0.19817998
58 1.16E-6 -0.18604652
59 1.18E-6 -0.19413549
60 1.2E-6 -0.21031345
61 1.22E-6 -0.23862488
62 1.24E-6 -0.24266937
63 1.26E-6 -0.23458039
64 1.28E-6 -0.2305359
65 1.3E-6 -0.24671386
66 1.32E-6 -0.29120324
67 1.34E-6 -0.32760365
68 1.36E-6 -0.32760365
69 1.38E-6 -0.32760365
70 1.4E-6 -0.32355916
71 1.42E-6 -0.32355916
72 1.44E-6 -0.32760365
73 1.46E-6 -0.34782609
74 1.48E-6 -0.37209303
75 1.5E-6 -0.36400405
