ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 10:37:21 836m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.025227043
1 2E-8 0.96266396
2 4E-8 1.3541877
3 6E-8 1.0040363
4 8E-8 -0.031281533
5 1E-7 -0.6236125
6 1.2E-7 -0.48536831
7 1.4E-7 -0.14127144
8 1.6E-7 0.060544903
9 1.8E-7 0.012108981
10 2E-7 -0.062563067
11 2.2E-7 -0.13319879
12 2.4E-7 -0.049445004
13 2.6E-7 -0.0080726538
14 2.8E-7 0.025227043
15 3E-7 0.010090817
16 3.2E-7 -0.02320888
17 3.4E-7 -0.0030272452
18 3.6E-7 0.028254288
19 3.8E-7 0.046417759
20 4E-7 0.032290615
21 4.2E-7 0.0080726538
22 4.4E-7 -0.0080726538
23 4.6E-7 0.0060544903
24 4.8E-7 0.02320888
25 5E-7 0.020181634
26 5.2E-7 0.014127144
27 5.4E-7 0.011099899
28 5.6E-7 0.013118062
29 5.8E-7 0.022199798
30 6E-7 0.033299697
31 6.2E-7 0.022199798
32 6.4E-7 0.0040363269
33 6.6E-7 0.0080726538
34 6.8E-7 0.018163471
35 7E-7 0.019172553
36 7.2E-7 0.05852674
37 7.4E-7 0.045408678
38 7.6E-7 0.05852674
39 7.8E-7 0.055499495
40 8E-7 0.041372351
41 8.2E-7 0.040363269
42 8.4E-7 0.041372351
43 8.6E-7 0.038345105
44 8.8E-7 0.03531786
45 9E-7 0.031281533
46 9.2E-7 0.026236125
47 9.4E-7 0.026236125
48 9.6E-7 0.022199798
49 9.8E-7 0.022199798
50 1E-6 0.021190716
51 1.02E-6 0.022199798
52 1.04E-6 0.019172553
53 1.06E-6 0.015136226
54 1.08E-6 0.015136226
55 1.1E-6 0.013118062
56 1.12E-6 0.010090817
57 1.14E-6 0.010090817
58 1.16E-6 0.0070635721
59 1.18E-6 0.0060544903
60 1.2E-6 0.0070635721
61 1.22E-6 0.0080726538
62 1.24E-6 0.0060544903
63 1.26E-6 0.0020181634
64 1.28E-6 0.0030272452
65 1.3E-6 0.0040363269
66 1.32E-6 0.0020181634
67 1.34E-6 0.0020181634
68 1.36E-6 0.0050454086
69 1.38E-6 0
70 1.4E-6 -0.0020181634
71 1.42E-6 -0.0040363269
72 1.44E-6 -0.0060544903
73 1.46E-6 -0.0060544903
74 1.48E-6 -0.0040363269
75 1.5E-6 -0.0050454086
76 1.52E-6 -0.0040363269
77 1.54E-6 -0.0040363269
78 1.56E-6 -0.0040363269
79 1.58E-6 0
80 1.6E-6 -0.0010090817
81 1.62E-6 -0.0040363269
82 1.64E-6 -0.0070635721
83 1.66E-6 0
84 1.68E-6 0.0010090817
85 1.7E-6 0.0020181634
86 1.72E-6 0.0010090817
87 1.74E-6 0.0010090817
88 1.76E-6 0.0020181634
89 1.78E-6 0.0030272452
90 1.8E-6 0.0040363269
91 1.82E-6 0.0070635721
92 1.84E-6 0.0080726538
93 1.86E-6 0.010090817
94 1.88E-6 0.0080726538
95 1.9E-6 0.0080726538
96 1.92E-6 0.013118062
97 1.94E-6 0.019172553
98 1.96E-6 0.017154389
99 1.98E-6 0.018163471
100 2E-6 0.017154389
