ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 10:04:28 484m





Sample number Relative time HS4D-50(28994).Ch1
  s V
-22 -4.4E-7 -0.011982027
-21 -4.2E-7 -0.0019970045
-20 -4E-7 0
-19 -3.8E-7 -0.003994009
-18 -3.6E-7 -0.011982027
-17 -3.4E-7 -0.007988018
-16 -3.2E-7 -0.0059910135
-15 -3E-7 -0.011982027
-14 -2.8E-7 -0.015976036
-13 -2.6E-7 -0.019970045
-12 -2.4E-7 -0.0099850225
-11 -2.2E-7 -0.015976036
-10 -2E-7 -0.021967049
-9 -1.8E-7 -0.019970045
-8 -1.6E-7 -0.015976036
-7 -1.4E-7 -0.023964054
-6 -1.2E-7 -0.46330504
-5 -1E-7 -1.2820769
-4 -8E-8 -2.7898153
-3 -6E-8 -3.3729406
-2 -4E-8 -2.5661508
-1 -2E-8 -0.43734398
0 0 0.99450824
1 2E-8 2.0609086
2 4E-8 1.7134299
3 6E-8 0.015976036
4 8E-8 -1.1342986
5 1E-7 -1.763355
6 1.2E-7 -1.2601098
7 1.4E-7 -0.98252621
8 1.6E-7 -0.66899651
9 1.8E-7 -0.58312531
10 2E-7 -0.5351972
11 2.2E-7 -0.3534698
12 2.4E-7 -0.2675986
13 2.6E-7 -0.15976036
14 2.8E-7 -0.16375437
15 3E-7 -0.11782327
16 3.2E-7 -0.03994009
17 3.4E-7 0.011982027
18 3.6E-7 0.013979031
19 3.8E-7 -0.05791313
20 4E-7 -0.10184723
21 4.2E-7 -0.10584124
22 4.4E-7 -0.055916126
23 4.6E-7 -0.013979031
24 4.8E-7 0.0019970045
25 5E-7 0.007988018
26 5.2E-7 0.019970045
27 5.4E-7 0.027958063
28 5.6E-7 0.037943085
29 5.8E-7 0.033949076
30 6E-7 0.019970045
31 6.2E-7 0.0099850225
32 6.4E-7 0.027958063
33 6.6E-7 0.071892162
34 6.8E-7 0.095856216
35 7E-7 0.09785322
36 7.2E-7 0.10783824
37 7.4E-7 0.091862207
38 7.6E-7 0.11183225
39 7.8E-7 0.10184723
40 8E-7 0.095856216
41 8.2E-7 0.073889166
42 8.4E-7 0.051922117
43 8.6E-7 0.037943085
44 8.8E-7 0.025961058
45 9E-7 0.019970045
46 9.2E-7 0.013979031
47 9.4E-7 0.0099850225
48 9.6E-7 0.003994009
49 9.8E-7 -0.0099850225
50 1E-6 -0.023964054
51 1.02E-6 -0.037943085
52 1.04E-6 -0.047928108
53 1.06E-6 -0.055916126
54 1.08E-6 -0.065901148
55 1.1E-6 -0.073889166
56 1.12E-6 -0.083874189
57 1.14E-6 -0.087868198
58 1.16E-6 -0.087868198
59 1.18E-6 -0.089865202
60 1.2E-6 -0.091862207
61 1.22E-6 -0.095856216
62 1.24E-6 -0.099850225
63 1.26E-6 -0.10184723
64 1.28E-6 -0.10184723
65 1.3E-6 -0.10584124
66 1.32E-6 -0.10384423
67 1.34E-6 -0.10783824
68 1.36E-6 -0.11382926
69 1.38E-6 -0.12181727
70 1.4E-6 -0.12780829
71 1.42E-6 -0.1337993
72 1.44E-6 -0.12181727
73 1.46E-6 -0.11582626
74 1.48E-6 -0.12381428
75 1.5E-6 -0.1337993
