ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 10:47:08 094m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.77396568
1 2E-8 1.0181635
2 4E-8 0.71846619
3 6E-8 -0.038345105
4 8E-8 -0.59031281
5 1E-7 -0.33097881
6 1.2E-7 -0.047426841
7 1.4E-7 0.10292634
8 1.6E-7 0.02926337
9 1.8E-7 -0.034308779
10 2E-7 -0.13521695
11 2.2E-7 -0.040363269
12 2.4E-7 0.0080726538
13 2.6E-7 0.039354187
14 2.8E-7 0.017154389
15 3E-7 -0.031281533
16 3.2E-7 -0.020181634
17 3.4E-7 0.02320888
18 3.6E-7 0.045408678
19 3.8E-7 0.026236125
20 4E-7 -0.0060544903
21 4.2E-7 -0.021190716
22 4.4E-7 0.0040363269
23 4.6E-7 0.031281533
24 4.8E-7 0.02926337
25 5E-7 0.010090817
26 5.2E-7 0
27 5.4E-7 0.0060544903
28 5.6E-7 0.021190716
29 5.8E-7 0.033299697
30 6E-7 0.02320888
31 6.2E-7 0.0040363269
32 6.4E-7 0.0060544903
33 6.6E-7 0.014127144
34 6.8E-7 0.0090817355
35 7E-7 0.050454086
36 7.2E-7 0.018163471
37 7.4E-7 0.038345105
38 7.6E-7 0.02926337
39 7.8E-7 0.030272452
40 8E-7 0.024217961
41 8.2E-7 0.025227043
42 8.4E-7 0.02320888
43 8.6E-7 0.018163471
44 8.8E-7 0.022199798
45 9E-7 0.018163471
46 9.2E-7 0.015136226
47 9.4E-7 0.015136226
48 9.6E-7 0.014127144
49 9.8E-7 0.015136226
50 1E-6 0.017154389
51 1.02E-6 0.016145308
52 1.04E-6 0.0070635721
53 1.06E-6 0.0080726538
54 1.08E-6 0.011099899
55 1.1E-6 0.012108981
56 1.12E-6 0.0080726538
57 1.14E-6 0.0060544903
58 1.16E-6 0.0020181634
59 1.18E-6 0.0020181634
60 1.2E-6 0.0070635721
61 1.22E-6 0.010090817
62 1.24E-6 0.0060544903
63 1.26E-6 0.0050454086
64 1.28E-6 0.0030272452
65 1.3E-6 0.0020181634
66 1.32E-6 0.0040363269
67 1.34E-6 0.0010090817
68 1.36E-6 0
69 1.38E-6 0
70 1.4E-6 0.0020181634
71 1.42E-6 0.0040363269
72 1.44E-6 0
73 1.46E-6 0.0010090817
74 1.48E-6 -0.0030272452
75 1.5E-6 0.0020181634
76 1.52E-6 -0.0020181634
77 1.54E-6 0.0020181634
78 1.56E-6 -0.0010090817
79 1.58E-6 -0.0020181634
80 1.6E-6 -0.0030272452
81 1.62E-6 0.0020181634
82 1.64E-6 0.0020181634
83 1.66E-6 0.0010090817
84 1.68E-6 0.0010090817
85 1.7E-6 -0.0010090817
86 1.72E-6 0.0020181634
87 1.74E-6 0.0050454086
88 1.76E-6 0.0060544903
89 1.78E-6 0.0050454086
90 1.8E-6 0.0070635721
91 1.82E-6 0.0050454086
92 1.84E-6 0.0070635721
93 1.86E-6 0.011099899
94 1.88E-6 0.0090817355
95 1.9E-6 0.010090817
96 1.92E-6 0.011099899
97 1.94E-6 0.011099899
98 1.96E-6 0.013118062
99 1.98E-6 0.013118062
100 2E-6 0.013118062
