ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-06 16:32:15 762m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 2.214678
1 2E-8 2.7858213
2 4E-8 2.9995008
3 6E-8 1.5317024
4 8E-8 -0.63904144
5 1E-7 1.1962057
6 1.2E-7 -1.2241638
7 1.4E-7 -1.6874688
8 1.6E-7 -0.68896655
9 1.8E-7 -1.8372441
10 2E-7 -1.0504244
11 2.2E-7 -0.62705941
12 2.4E-7 -0.89465801
13 2.6E-7 0.60309536
14 2.8E-7 0.18971543
15 3E-7 0.10184723
16 3.2E-7 0.40938592
17 3.4E-7 -0.31352971
18 3.6E-7 -0.029955067
19 3.8E-7 0.24563155
20 4E-7 -0.23165252
21 4.2E-7 0.28157763
22 4.4E-7 -0.025961058
23 4.6E-7 -0.12381428
24 4.8E-7 0.18971543
25 5E-7 -0.19171243
26 5.2E-7 0.007988018
27 5.4E-7 0.059910135
28 5.6E-7 -0.17174239
29 5.8E-7 0.11382926
30 6E-7 -0.027958063
31 6.2E-7 -0.093859211
32 6.4E-7 0.10384423
33 6.6E-7 -0.075886171
34 6.8E-7 -0.021967049
35 7E-7 0.081877184
36 7.2E-7 0.015976036
37 7.4E-7 0.015976036
38 7.6E-7 0.13779331
39 7.8E-7 -0.16774838
40 8E-7 0.11982027
41 8.2E-7 -0.053919121
42 8.4E-7 0.007988018
43 8.6E-7 0.099850225
44 8.8E-7 -0.025961058
45 9E-7 0.051922117
46 9.2E-7 0.083874189
47 9.4E-7 0.065901148
48 9.6E-7 0.11382926
49 9.8E-7 0.067898153
50 1E-6 -0.011982027
51 1.02E-6 0.031952072
52 1.04E-6 -0.053919121
53 1.06E-6 -0.045931103
54 1.08E-6 -0.053919121
55 1.1E-6 -0.091862207
56 1.12E-6 -0.041937094
57 1.14E-6 -0.043934099
58 1.16E-6 -0.01797304
59 1.18E-6 0.03994009
60 1.2E-6 0.035946081
61 1.22E-6 0.033949076
62 1.24E-6 0.035946081
63 1.26E-6 0.015976036
64 1.28E-6 0.03994009
65 1.3E-6 0.05791313
66 1.32E-6 0.045931103
67 1.34E-6 0.031952072
68 1.36E-6 0.03994009
69 1.38E-6 0.0099850225
70 1.4E-6 0
71 1.42E-6 -0.013979031
72 1.44E-6 -0.003994009
73 1.46E-6 0.0099850225
74 1.48E-6 0.037943085
75 1.5E-6 0.037943085
76 1.52E-6 0.013979031
77 1.54E-6 -0.0099850225
78 1.56E-6 0.003994009
79 1.58E-6 0.0019970045
80 1.6E-6 0.035946081
81 1.62E-6 0.029955067
82 1.64E-6 0.033949076
83 1.66E-6 0.023964054
84 1.68E-6 0.0019970045
85 1.7E-6 0.029955067
86 1.72E-6 0.0019970045
87 1.74E-6 0.0059910135
88 1.76E-6 0.01797304
89 1.78E-6 0.011982027
90 1.8E-6 0.037943085
91 1.82E-6 -0.0059910135
92 1.84E-6 -0.027958063
93 1.86E-6 -0.037943085
94 1.88E-6 -0.015976036
95 1.9E-6 0.03994009
96 1.92E-6 0.051922117
97 1.94E-6 0.043934099
98 1.96E-6 0.045931103
99 1.98E-6 0.047928108
100 2E-6 0.051922117
