ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-11 13:44:12 695m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.5496755
1 2E-8 2.1767349
2 4E-8 2.0549176
3 6E-8 0.45332002
4 8E-8 -2.2985522
5 1E-7 1.3020469
6 1.2E-7 -1.2001997
7 1.4E-7 0.40339491
8 1.6E-7 -0.58711932
9 1.8E-7 0.081877184
10 2E-7 0.053919121
11 2.2E-7 -0.22566151
12 2.4E-7 0.019970045
13 2.6E-7 -0.30154768
14 2.8E-7 0.23764354
15 3E-7 -0.14378432
16 3.2E-7 0.01797304
17 3.4E-7 -0.077883175
18 3.6E-7 -0.14578133
19 3.8E-7 0.031952072
20 4E-7 0.0019970045
21 4.2E-7 -0.071892162
22 4.4E-7 -0.041937094
23 4.6E-7 -0.12581128
24 4.8E-7 -0.015976036
25 5E-7 -0.091862207
26 5.2E-7 0.029955067
27 5.4E-7 -0.089865202
28 5.6E-7 -0.077883175
29 5.8E-7 -0.12181727
30 6E-7 -0.075886171
31 6.2E-7 -0.085871193
32 6.4E-7 0.013979031
33 6.6E-7 -0.055916126
34 6.8E-7 0.011982027
35 7E-7 -0.023964054
36 7.2E-7 0.055916126
37 7.4E-7 -0.047928108
38 7.6E-7 0.077883175
39 7.8E-7 -0.11782327
40 8E-7 -0.013979031
41 8.2E-7 -0.025961058
42 8.4E-7 0.025961058
43 8.6E-7 -0.007988018
44 8.8E-7 -0.031952072
45 9E-7 -0.045931103
46 9.2E-7 -0.037943085
47 9.4E-7 -0.047928108
48 9.6E-7 -0.043934099
49 9.8E-7 -0.027958063
50 1E-6 -0.081877184
51 1.02E-6 -0.01797304
52 1.04E-6 -0.077883175
53 1.06E-6 -0.019970045
54 1.08E-6 -0.083874189
55 1.1E-6 -0.03994009
56 1.12E-6 -0.075886171
57 1.14E-6 -0.031952072
58 1.16E-6 -0.063904144
59 1.18E-6 -0.033949076
60 1.2E-6 -0.071892162
61 1.22E-6 -0.041937094
62 1.24E-6 -0.07988018
63 1.26E-6 -0.033949076
64 1.28E-6 -0.063904144
65 1.3E-6 -0.03994009
66 1.32E-6 -0.067898153
67 1.34E-6 -0.047928108
68 1.36E-6 -0.073889166
69 1.38E-6 -0.051922117
70 1.4E-6 -0.077883175
71 1.42E-6 -0.059910135
72 1.44E-6 -0.085871193
73 1.46E-6 -0.055916126
74 1.48E-6 -0.061907139
75 1.5E-6 -0.05791313
76 1.52E-6 -0.065901148
77 1.54E-6 -0.063904144
78 1.56E-6 -0.067898153
79 1.58E-6 -0.063904144
80 1.6E-6 -0.067898153
81 1.62E-6 -0.053919121
82 1.64E-6 -0.071892162
83 1.66E-6 -0.055916126
84 1.68E-6 -0.069895157
85 1.7E-6 -0.05791313
86 1.72E-6 -0.061907139
87 1.74E-6 -0.061907139
88 1.76E-6 -0.055916126
89 1.78E-6 -0.055916126
90 1.8E-6 -0.055916126
91 1.82E-6 -0.055916126
92 1.84E-6 -0.051922117
93 1.86E-6 -0.053919121
94 1.88E-6 -0.047928108
95 1.9E-6 -0.047928108
96 1.92E-6 -0.043934099
97 1.94E-6 -0.051922117
98 1.96E-6 -0.03994009
