ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-11 13:40:45 015m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.908999
1 2E-8 1.1769464
2 4E-8 2.3174925
3 6E-8 -1.0273003
4 8E-8 -2.9726998
5 1E-7 -3.4337716
6 1.2E-7 -3.8179981
7 1.4E-7 -3.6926189
8 1.6E-7 -3.5146613
9 1.8E-7 -2.9282104
10 2E-7 -1.7795754
11 2.2E-7 -0.71587464
12 2.4E-7 0.36400405
13 2.6E-7 0.12942366
14 2.8E-7 0.4206269
15 3E-7 -0.19009101
16 3.2E-7 0.15773509
17 3.4E-7 0.2669363
18 3.6E-7 1.0151669
19 3.8E-7 1.156724
20 4E-7 0.20626896
21 4.2E-7 0.6511628
22 4.4E-7 -0.39635997
23 4.6E-7 0.43276037
24 4.8E-7 -0.46916078
25 5E-7 0.58240648
26 5.2E-7 -0.16582407
27 5.4E-7 -0.040444895
28 5.6E-7 -0.33569263
29 5.8E-7 -0.43680486
30 6E-7 -0.32355916
31 6.2E-7 -0.67138525
32 6.4E-7 -0.48533874
33 6.6E-7 -0.79271994
34 6.8E-7 -0.63094036
35 7E-7 -0.74014157
36 7.2E-7 -0.71587464
37 7.4E-7 -0.70374117
38 7.6E-7 -0.74418606
39 7.8E-7 -0.67947423
40 8E-7 -0.76036402
41 8.2E-7 -0.67138525
42 8.4E-7 -0.71587464
43 8.6E-7 -0.66329627
44 8.8E-7 -0.63094036
45 9E-7 -0.52982812
46 9.2E-7 -0.47724976
47 9.4E-7 -0.37613752
48 9.6E-7 -0.31951467
49 9.8E-7 -0.23458039
50 1E-6 -0.15773509
51 1.02E-6 -0.0768453
52 1.04E-6 -0.040444895
53 1.06E-6 0.040444895
54 1.08E-6 0.10920122
55 1.1E-6 0.17795754
56 1.12E-6 0.20626896
57 1.14E-6 0.25480284
58 1.16E-6 0.28311426
59 1.18E-6 0.32760365
60 1.2E-6 0.35187058
61 1.22E-6 0.35995956
62 1.24E-6 0.37209303
63 1.26E-6 0.32760365
64 1.28E-6 0.35187058
65 1.3E-6 0.30333671
66 1.32E-6 0.29524773
67 1.34E-6 0.27098079
68 1.36E-6 0.23862488
69 1.38E-6 0.23458039
70 1.4E-6 0.19009101
71 1.42E-6 0.13751264
72 1.44E-6 0.11324571
73 1.46E-6 0.15773509
74 1.48E-6 0.13346815
75 1.5E-6 0.068756321
76 1.52E-6 0.064711832
77 1.54E-6 0.024266937
78 1.56E-6 0.036400405
79 1.58E-6 -0.016177958
80 1.6E-6 0.028311426
81 1.62E-6 -0.020222447
82 1.64E-6 0.0040444895
83 1.66E-6 -0.028311426
84 1.68E-6 -0.016177958
85 1.7E-6 -0.016177958
86 1.72E-6 0.016177958
87 1.74E-6 -0.0080889789
88 1.76E-6 -0.0080889789
89 1.78E-6 0.028311426
90 1.8E-6 0.024266937
91 1.82E-6 0.044489384
92 1.84E-6 0.068756321
93 1.86E-6 0.093023258
94 1.88E-6 0.11324571
95 1.9E-6 0.12537917
96 1.92E-6 0.14964611
97 1.94E-6 0.15773509
98 1.96E-6 0.19009101
99 1.98E-6 0.20626896
100 2E-6 0.21840243
