ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-10 16:36:31 922m





Relative time  Ch1
s  V
0  0.93427707
2E-8  0.43276037
4E-8  2.5156724
6E-8  2.2730031
8E-8  -3.5187058
1E-7  -3.3164814
1.2E-7  -4.2871588
1.4E-7  -3.6238626
1.6E-7  -3.3407483
1.8E-7  -4.3235592
2E-7  -1.9615774
2.2E-7  -3.6076846
2.4E-7  1.5166836
2.6E-7  -1.0232558
2.8E-7  0.70374117
3E-7  -1.9817998
3.2E-7  1.0839232
3.4E-7  0.62689587
3.6E-7  2.8149647
3.8E-7  2.1840243
4E-7  0.83720932
4.2E-7  1.3589485
4.4E-7  -0.78058647
4.6E-7  0.17795754
4.8E-7  -1.3993934
5E-7  1.2173913
5.2E-7  -0.16177958
5.4E-7  -0.1536906
5.6E-7  -1.3832154
5.8E-7  -1.5773509
6E-7  -1.3993934
6.2E-7  -2.3660263
6.4E-7  -2.1799798
6.6E-7  -3.0212336
6.8E-7  -2.321537
7E-7  -2.6531851
7.2E-7  -2.2649141
7.4E-7  -3.7330638
7.6E-7  -1.338726
7.8E-7  -3.4863499
8E-7  -2.0586451
8.2E-7  -3.0414561
8.4E-7  -1.925177
8.6E-7  -2.8149647
8.8E-7  -1.6501517
9E-7  -2.2042468
9.2E-7  -1.140546
9.4E-7  -1.4924166
9.6E-7  -0.67947423
9.8E-7  -0.76440851
1E-6  -0.31142569
1.02E-6  0.048533874
1.04E-6  -0.13751264
1.06E-6  0.5379171
1.08E-6  0.16986856
1.1E-6  0.99089992
1.12E-6  0.50556118
1.14E-6  1.346815
1.16E-6  0.74823055
1.18E-6  1.5005056
1.2E-6  0.88574319
1.22E-6  1.5409505
1.24E-6  1.0192113
1.26E-6  1.3791709
1.28E-6  1.0515673
1.3E-6  1.1850354
1.32E-6  1.0717897
1.34E-6  0.96258849
1.36E-6  0.96258849
1.38E-6  0.71183015
1.4E-6  0.90596564
1.42E-6  0.55409506
1.44E-6  0.76440851
1.46E-6  0.28311426
1.48E-6  0.57027302
1.5E-6  0.12537917
1.52E-6  0.42467139
1.54E-6  0.020222447
1.56E-6  0.33569263
1.58E-6  0.0040444895
1.6E-6  0.20222447
1.62E-6  0.064711832
1.64E-6  0.068756321
1.66E-6  0.093023258
1.68E-6  0.0768453
1.7E-6  0.16582407
1.72E-6  0.068756321
1.74E-6  0.29929222
1.76E-6  0.12942366
1.78E-6  0.3842265
1.8E-6  0.27502528
1.82E-6  0.48533874
1.84E-6  0.49342772
1.86E-6  0.64307383
1.88E-6  0.62689587
1.9E-6  0.74418606
1.92E-6  0.77249749
1.94E-6  0.78463096
1.96E-6  0.87765421
1.98E-6  0.85743177
2E-6  0.99089992
2.02E-6  0.93427707
2.04E-6  1.1001011
2.06E-6  0.91809911
2.08E-6  1.0960566
2.1E-6  0.958544
2.12E-6  1.0677452
2.14E-6  0.96258849
2.16E-6  1.0758342
2.18E-6  0.93023258
2.2E-6  0.98685543
2.22E-6  0.85743177
2.24E-6  0.97067747
2.26E-6  0.87765421
2.28E-6  0.84125381
2.3E-6  0.82103136
2.32E-6  0.80889789
2.34E-6  0.75631953
2.36E-6  0.69969668
2.38E-6  0.70374117
2.4E-6  0.66329627
2.42E-6  0.63094036
2.44E-6  0.55409506
2.46E-6  0.64711832
2.48E-6  0.5379171
2.5E-6  0.62285138
2.52E-6  0.5379171
2.54E-6  0.55409506
2.56E-6  0.55813955
2.58E-6  0.54196159
2.6E-6  0.4974722
2.62E-6  0.56218404
2.64E-6  0.51365016
2.66E-6  0.55813955
2.68E-6  0.54600608
2.7E-6  0.4974722
2.72E-6  0.6147624
2.74E-6  0.53387261
2.76E-6  0.56622853
2.78E-6  0.59858444
2.8E-6  0.61071791
2.82E-6  0.60667342
2.84E-6  0.79676443
2.86E-6  0.61071791
2.88E-6  0.76036402
2.9E-6  0.59453995
2.92E-6  0.64307383
2.94E-6  0.6511628
2.96E-6  0.55409506
2.98E-6  0.63094036
3E-6  0.48938323
3.02E-6  0.63498485
3.04E-6  0.56218404
3.06E-6  0.56218404
3.08E-6  0.46916078
3.1E-6  0.53387261
3.12E-6  0.40040446
3.14E-6  0.52173914
3.16E-6  0.38018201
3.18E-6  0.50151669
3.2E-6  0.4610718
3.22E-6  0.39231548
3.24E-6  0.38018201
3.26E-6  0.38018201
3.28E-6  0.41658242
3.3E-6  0.36400405
3.32E-6  0.41253793
3.34E-6  0.31547018
3.36E-6  0.37209303
3.38E-6  0.23458039
3.4E-6  0.32355916
3.42E-6  0.28311426
3.44E-6  0.31142569
3.46E-6  0.27502528
3.48E-6  0.33164814
3.5E-6  0.25075835
3.52E-6  0.22244692
3.54E-6  0.28311426
3.56E-6  0.25884733
3.58E-6  0.30333671
3.6E-6  0.27098079
3.62E-6  0.27502528
3.64E-6  0.29120324
3.66E-6  0.28715875
3.68E-6  0.21031345
3.7E-6  0.31142569
3.72E-6  0.28311426
3.74E-6  0.21840243
3.76E-6  0.23862488
3.78E-6  0.24266937
3.8E-6  0.16177958
3.82E-6  0.27502528
3.84E-6  0.14155713
3.86E-6  0.10111224
3.88E-6  0.24671386
3.9E-6  0.1536906
3.92E-6  0.19413549
3.94E-6  0.23458039
3.96E-6  0.17391305
3.98E-6  0.19413549
4E-6  0.16177958
4.02E-6  0.10515673
4.04E-6  0.18200203
4.06E-6  0.14155713
4.08E-6  0.13346815
4.1E-6  0.14155713
4.12E-6  0.11729019
4.14E-6  0.11324571
4.16E-6  0.10920122
4.18E-6  0.093023258
4.2E-6  0.064711832
4.22E-6  0.11729019
4.24E-6  0.084934279
4.26E-6  0.10515673
4.28E-6  0.14155713
4.3E-6  0.084934279
4.32E-6  0.10111224
4.34E-6  0.1536906
4.36E-6  0.088978768
4.38E-6  0.097067747
4.4E-6  0.024266937
4.42E-6  0.10515673
4.44E-6  0.13346815
4.46E-6  0.12133468
4.48E-6  0.032355916
4.5E-6  0.040444895
4.52E-6  0.028311426
4.54E-6  0.044489384
4.56E-6  0.084934279
4.58E-6  -0.012133468
4.6E-6  0.084934279
4.62E-6  -0.032355916
4.64E-6  0.056622853
4.66E-6  -0.040444895
4.68E-6  0.024266937
4.7E-6  -0.060667342
4.72E-6  0.056622853
4.74E-6  -0.024266937
4.76E-6  0.036400405
4.78E-6  -0.028311426
4.8E-6  -0.012133468
4.82E-6  -0.012133468
4.84E-6  -0.032355916
4.86E-6  0.0080889789
4.88E-6  -0.036400405
4.9E-6  0.024266937
4.92E-6  -0.0768453
4.94E-6  -0.012133468
4.96E-6  -0.080889789
4.98E-6  -0.020222447
5E-6  -0.032355916
