ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-11 10:57:43 426m





Relative time;Ch1
s;V
0;0.78463096
2E-8;2.2285137
4E-8;1.5935289
6E-8;-2.2568251
8E-8;-3.7411528
1E-7;-3.9635997
1.2E-7;-3.7856421
1.4E-7;-3.7128413
1.6E-7;-3.858443
1.8E-7;-3.9352883
2E-7;-3.4903944
2.2E-7;-0.91809911
2.4E-7;0.14964611
2.6E-7;0.74014157
2.8E-7;0.19817998
3E-7;0.19817998
3.2E-7;0.92618809
3.4E-7;1.9656219
3.6E-7;2.0869566
3.8E-7;1.735086
4E-7;1.0596562
4.2E-7;0.37613752
4.4E-7;0
4.6E-7;-0.43680486
4.8E-7;-0.056622853
5E-7;0.12537917
5.2E-7;-0.012133468
5.4E-7;-0.6511628
5.6E-7;-1.2497472
5.8E-7;-1.520728
6E-7;-1.8240648
6.2E-7;-2.1395349
6.4E-7;-2.4266937
6.6E-7;-2.3619819
6.8E-7;-2.4994945
7E-7;-2.5439839
7.2E-7;-2.6734075
7.4E-7;-2.5399394
7.6E-7;-2.5844288
7.8E-7;-2.5480284
8E-7;-2.4711831
8.2E-7;-2.4590496
8.4E-7;-2.3094035
8.6E-7;-2.1435794
8.8E-7;-1.908999
9E-7;-1.6663297
9.2E-7;-1.3346815
9.4E-7;-1.0232558
9.6E-7;-0.75227504
9.8E-7;-0.43276037
1E-6;-0.13751264
1.02E-6;0.032355916
1.04E-6;0.2305359
1.06E-6;0.46511629
1.08E-6;0.67542974
1.1E-6;0.86147626
1.12E-6;1.0232558
1.14E-6;1.1688575
1.16E-6;1.2821032
1.18E-6;1.362993
1.2E-6;1.3872599
1.22E-6;1.3589485
1.24E-6;1.330637
1.26E-6;1.2780587
1.28E-6;1.2214358
1.3E-6;1.1607685
1.32E-6;1.0960566
1.34E-6;1.0394338
1.36E-6;0.97876645
1.38E-6;0.88574319
1.4E-6;0.78867545
1.42E-6;0.67542974
1.44E-6;0.5743175
1.46E-6;0.46511629
1.48E-6;0.37613752
1.5E-6;0.28311426
1.52E-6;0.21435794
1.54E-6;0.16582407
1.56E-6;0.13751264
1.58E-6;0.12537917
1.6E-6;0.10111224
1.62E-6;0.080889789
1.64E-6;0.052578363
1.66E-6;0.044489384
1.68E-6;0.0768453
1.7E-6;0.12537917
1.72E-6;0.14964611
1.74E-6;0.17391305
1.76E-6;0.22649141
1.78E-6;0.30333671
1.8E-6;0.37209303
1.82E-6;0.44489384
1.84E-6;0.4974722
1.86E-6;0.5743175
1.88E-6;0.6511628
1.9E-6;0.73609708
1.92E-6;0.80889789
1.94E-6;0.89787666
1.96E-6;0.94641054
1.98E-6;0.97067747
2E-6;1.0030334
2.02E-6;1.0273003
2.04E-6;1.0475228
2.06E-6;1.0798787
2.08E-6;1.1081901
2.1E-6;1.1243681
2.12E-6;1.1324571
2.14E-6;1.1041456
2.16E-6;1.0677452
2.18E-6;1.0353893
2.2E-6;1.0111224
2.22E-6;0.95449951
2.24E-6;0.93427707
2.26E-6;0.9221436
2.28E-6;0.89383217
2.3E-6;0.83720932
2.32E-6;0.78867545
2.34E-6;0.76036402
2.36E-6;0.72396362
2.38E-6;0.68351872
2.4E-6;0.63498485
2.42E-6;0.6147624
2.44E-6;0.60262893
2.46E-6;0.60667342
2.48E-6;0.61071791
2.5E-6;0.57836199
2.52E-6;0.56622853
2.54E-6;0.55813955
2.56E-6;0.55409506
2.58E-6;0.54196159
2.6E-6;0.52982812
2.62E-6;0.52982812
2.64E-6;0.53387261
2.66E-6;0.55005057
2.68E-6;0.55813955
2.7E-6;0.57027302
2.72E-6;0.59858444
2.74E-6;0.63498485
2.76E-6;0.65925178
