ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-11 11:14:59 732m





Relative time;Ch1
s;V
0;0.40766902
2E-8;1.2391524
4E-8;1.6074672
6E-8;0.73461149
8E-8;-0.56004036
1E-7;-1.4006054
1.2E-7;-1.0978809
1.4E-7;-0.50958627
1.6E-7;-0.17759838
1.8E-7;-0.19374369
2E-7;-0.25832492
2.2E-7;-0.16044399
2.4E-7;-0.072653884
2.6E-7;0.026236125
2.8E-7;0.057517658
3E-7;0.045408678
3.2E-7;0.0060544903
3.4E-7;0.010090817
3.6E-7;0.046417759
3.8E-7;0.10090817
4E-7;0.14127144
4.2E-7;0.12310797
4.4E-7;0.079717456
4.6E-7;0.031281533
4.8E-7;0.019172553
5E-7;0.0060544903
5.2E-7;0.010090817
5.4E-7;0.020181634
5.6E-7;0.021190716
5.8E-7;0.0040363269
6E-7;-0.017154389
6.2E-7;-0.028254288
6.4E-7;-0.034308779
6.6E-7;-0.067608475
6.8E-7;-0.10393542
7E-7;0.010090817
7.2E-7;-0.047426841
7.4E-7;-0.1049445
7.6E-7;-0.060544903
7.8E-7;-0.0030272452
8E-7;-0.11301715
8.2E-7;-0.042381432
8.4E-7;-0.038345105
8.6E-7;-0.055499495
8.8E-7;-0.075681129
9E-7;-0.033299697
9.2E-7;-0.043390514
9.4E-7;-0.047426841
9.6E-7;-0.024217961
9.8E-7;-0.0090817355
1E-6;-0.019172553
1.02E-6;-0.0040363269
1.04E-6;0.016145308
1.06E-6;0.012108981
1.08E-6;0.019172553
1.1E-6;0.02926337
1.12E-6;0.03531786
1.14E-6;0.03531786
1.16E-6;0.044399596
1.18E-6;0.049445004
1.2E-6;0.05247225
1.22E-6;0.056508576
1.24E-6;0.05852674
1.26E-6;0.057517658
1.28E-6;0.055499495
1.3E-6;0.053481331
1.32E-6;0.05247225
1.34E-6;0.051463168
1.36E-6;0.049445004
1.38E-6;0.046417759
1.4E-6;0.045408678
1.42E-6;0.043390514
1.44E-6;0.041372351
1.46E-6;0.037336024
1.48E-6;0.033299697
1.5E-6;0.02926337
1.52E-6;0.027245207
1.54E-6;0.026236125
1.56E-6;0.024217961
1.58E-6;0.025227043
1.6E-6;0.026236125
1.62E-6;0.02320888
1.64E-6;0.022199798
