ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-11 10:54:10 545m





Relative time Ch1
s V
0 0.4974722
2E-8 1.9292215
4E-8 2.2204247
6E-8 -0.68756321
8E-8 -3.6723964
1E-7 -3.850354
1.2E-7 -3.842265
1.4E-7 -3.7209303
1.6E-7 -3.7937311
1.8E-7 -3.9474217
2E-7 -3.6764409
2.2E-7 -1.4802831
2.4E-7 -0.28311426
2.6E-7 0.68756321
2.8E-7 0.25884733
3E-7 0.10920122
3.2E-7 0.63902934
3.4E-7 1.6865521
3.6E-7 2.1395349
3.8E-7 1.7957533
4E-7 1.2901921
4.2E-7 0.48129425
4.4E-7 0.18604652
4.6E-7 -0.34782609
4.8E-7 -0.1536906
5E-7 0.07280081
5.2E-7 0.0080889789
5.4E-7 -0.48129425
5.6E-7 -1.1688575
5.8E-7 -1.4883721
6E-7 -1.7997978
6.2E-7 -2.0707786
6.4E-7 -2.4105157
6.6E-7 -2.4630941
6.8E-7 -2.5278059
7E-7 -2.5561173
7.2E-7 -2.7057635
7.4E-7 -2.5803843
7.6E-7 -2.5965622
7.8E-7 -2.5884733
8E-7 -2.5399394
8.2E-7 -2.5642063
8.4E-7 -2.4914055
8.6E-7 -2.2770476
8.8E-7 -2.0343782
9E-7 -1.7836199
9.2E-7 -1.4883721
9.4E-7 -1.1526795
9.6E-7 -0.88978768
9.8E-7 -0.5743175
1E-6 -0.25480284
1.02E-6 -0.036400405
1.04E-6 0.16986856
1.06E-6 0.39635997
1.08E-6 0.60667342
1.1E-6 0.79676443
1.12E-6 0.98281094
1.14E-6 1.1203236
1.16E-6 1.2376138
1.18E-6 1.338726
1.2E-6 1.4236603
1.22E-6 1.4438827
1.24E-6 1.4357938
1.26E-6 1.3913044
1.28E-6 1.3427705
1.3E-6 1.3023256
1.32E-6 1.2295248
1.34E-6 1.1284126
1.36E-6 1.0313448
1.38E-6 0.94641054
1.4E-6 0.89383217
1.42E-6 0.80889789
1.44E-6 0.69565219
1.46E-6 0.58240648
1.48E-6 0.46511629
1.5E-6 0.35187058
1.52E-6 0.27098079
1.54E-6 0.20626896
1.56E-6 0.13751264
1.58E-6 0.13346815
1.6E-6 0.13751264
1.62E-6 0.14560162
1.64E-6 0.11729019
1.66E-6 0.084934279
1.68E-6 0.068756321
1.7E-6 0.088978768
1.72E-6 0.12942366
1.74E-6 0.15773509
1.76E-6 0.22244692
1.78E-6 0.29120324
1.8E-6 0.35995956
1.82E-6 0.44489384
1.84E-6 0.53387261
1.86E-6 0.61880689
1.88E-6 0.68756321
1.9E-6 0.768453
1.92E-6 0.85338728
1.94E-6 0.90596564
1.96E-6 0.95045503
1.98E-6 0.99089992
2E-6 1.0434783
2.02E-6 1.0839232
2.04E-6 1.1243681
2.06E-6 1.1445905
2.08E-6 1.148635
2.1E-6 1.140546
2.12E-6 1.1365015
2.14E-6 1.148635
2.16E-6 1.148635
2.18E-6 1.1284126
2.2E-6 1.1001011
2.22E-6 1.0637007
2.24E-6 1.0353893
2.26E-6 0.97472196
2.28E-6 0.91001013
2.3E-6 0.87765421
2.32E-6 0.86552075
2.34E-6 0.85338728
2.36E-6 0.81698687
2.38E-6 0.768453
2.4E-6 0.73205259
2.42E-6 0.70778566
2.44E-6 0.68351872
2.46E-6 0.66734076
2.48E-6 0.63498485
2.5E-6 0.61071791
2.52E-6 0.59049546
2.54E-6 0.57027302
2.56E-6 0.55005057
2.58E-6 0.54196159
2.6E-6 0.55813955
2.62E-6 0.5743175
2.64E-6 0.58645097
2.66E-6 0.58645097
2.68E-6 0.58645097
2.7E-6 0.59453995
2.72E-6 0.62689587
2.74E-6 0.66329627
2.76E-6 0.67138525
2.78E-6 0.65520729
2.8E-6 0.66734076
2.82E-6 0.76036402
2.84E-6 0.84125381
2.86E-6 0.84125381
2.88E-6 0.80080891
2.9E-6 0.768453
2.92E-6 0.77249749
2.94E-6 0.77249749
2.96E-6 0.76440851
2.98E-6 0.76036402
3E-6 0.75631953
3.02E-6 0.74823055
3.04E-6 0.71991913
3.06E-6 0.68756321
3.08E-6 0.67138525
3.1E-6 0.66329627
3.12E-6 0.64711832
3.14E-6 0.6147624
3.16E-6 0.59858444
3.18E-6 0.59049546
3.2E-6 0.56622853
3.22E-6 0.53387261
3.24E-6 0.50556118
3.26E-6 0.48938323
3.28E-6 0.47320527
3.3E-6 0.47320527
3.32E-6 0.46916078
3.34E-6 0.45702731
3.36E-6 0.45298282
3.38E-6 0.44489384
3.4E-6 0.42871588
3.42E-6 0.4206269
3.44E-6 0.4206269
3.46E-6 0.4206269
3.48E-6 0.42467139
3.5E-6 0.41658242
3.52E-6 0.39231548
3.54E-6 0.38827099
3.56E-6 0.41658242
3.58E-6 0.4206269
3.6E-6 0.41658242
3.62E-6 0.3842265
3.64E-6 0.37209303
3.66E-6 0.37209303
3.68E-6 0.37613752
3.7E-6 0.37209303
3.72E-6 0.36804854
3.74E-6 0.37613752
3.76E-6 0.37613752
3.78E-6 0.36804854
3.8E-6 0.35591507
3.82E-6 0.36804854
3.84E-6 0.3842265
3.86E-6 0.3842265
3.88E-6 0.37209303
