ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-11 10:31:57 015m





Relative time;Ch1
s;V
0;0.78463096
2E-8;2.1880688
4E-8;1.6016178
6E-8;-2.3458039
8E-8;-3.7694642
1E-7;-4.0121336
1.2E-7;-3.8301315
1.4E-7;-3.7815977
1.6E-7;-3.9352883
1.8E-7;-3.8827099
2E-7;-3.2315471
2.2E-7;-0.82103136
2.4E-7;0.13751264
2.6E-7;0.71183015
2.8E-7;0.16986856
3E-7;0.14964611
3.2E-7;0.74014157
3.4E-7;1.7310415
3.6E-7;2.0546007
3.8E-7;1.7674419
4E-7;1.2093024
4.2E-7;0.43276037
4.4E-7;0.18604652
4.6E-7;-0.33569263
4.8E-7;-0.14155713
5E-7;-0.040444895
5.2E-7;-0.12537917
5.4E-7;-0.67138525
5.6E-7;-1.2740142
5.8E-7;-1.5571284
6E-7;-1.8564207
6.2E-7;-2.123357
6.4E-7;-2.3862488
6.6E-7;-2.3538929
6.8E-7;-2.4590496
7E-7;-2.5480284
7.2E-7;-2.6450961
7.4E-7;-2.5399394
7.6E-7;-2.6410516
7.8E-7;-2.6086957
8E-7;-2.5318504
8.2E-7;-2.5925177
8.4E-7;-2.4833165
8.6E-7;-2.2770476
8.8E-7;-2.0060668
9E-7;-1.743175
9.2E-7;-1.4034378
9.4E-7;-1.1041456
9.6E-7;-0.81698687
9.8E-7;-0.4610718
1E-6;-0.16986856
1.02E-6;0.048533874
1.04E-6;0.25075835
1.06E-6;0.48129425
1.08E-6;0.67542974
1.1E-6;0.87765421
1.12E-6;1.0394338
1.14E-6;1.1526795
1.16E-6;1.2618807
1.18E-6;1.3670374
1.2E-6;1.4236603
1.22E-6;1.4236603
1.24E-6;1.3710819
1.26E-6;1.3023256
1.28E-6;1.2699697
1.3E-6;1.2133468
1.32E-6;1.1445905
1.34E-6;1.0556118
1.36E-6;0.95045503
1.38E-6;0.8452983
1.4E-6;0.73609708
1.42E-6;0.63094036
1.44E-6;0.55005057
1.46E-6;0.45298282
1.48E-6;0.33973712
1.5E-6;0.25480284
1.52E-6;0.18200203
1.54E-6;0.13751264
1.56E-6;0.10111224
1.58E-6;0.056622853
1.6E-6;0.016177958
1.62E-6;-0.0080889789
1.64E-6;-0.040444895
1.66E-6;-0.040444895
1.68E-6;-0.044489384
1.7E-6;-0.032355916
1.72E-6;-0.0040444895
1.74E-6;0.060667342
1.76E-6;0.13751264
1.78E-6;0.18200203
1.8E-6;0.24671386
1.82E-6;0.32760365
1.84E-6;0.43680486
1.86E-6;0.50960567
1.88E-6;0.58240648
1.9E-6;0.65925178
1.92E-6;0.74418606
1.94E-6;0.82103136
1.96E-6;0.86552075
1.98E-6;0.90192115
2E-6;0.96258849
2.02E-6;1.0394338
2.04E-6;1.0879677
2.06E-6;1.1041456
2.08E-6;1.1122346
2.1E-6;1.1122346
2.12E-6;1.1001011
2.14E-6;1.0637007
2.16E-6;1.0232558
2.18E-6;0.9989889
2.2E-6;0.96663298
2.22E-6;0.94236605
2.24E-6;0.9221436
2.26E-6;0.89787666
2.28E-6;0.86147626
2.3E-6;0.82507585
2.32E-6;0.78058647
2.34E-6;0.72396362
2.36E-6;0.65925178
2.38E-6;0.62689587
2.4E-6;0.6147624
2.42E-6;0.59858444
2.44E-6;0.5743175
2.46E-6;0.54600608
2.48E-6;0.50960567
2.5E-6;0.50556118
2.52E-6;0.48129425
2.54E-6;0.4610718
2.56E-6;0.45298282
2.58E-6;0.46916078
2.6E-6;0.47320527
2.62E-6;0.48129425
2.64E-6;0.46916078
2.66E-6;0.44489384
2.68E-6;0.4610718
2.7E-6;0.48533874
2.72E-6;0.52982812
2.74E-6;0.5743175
