ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-10 16:30:20 808m





Relative time;Ch1
s;V
0;1.9979778
2E-8;0.21435794
4E-8;2.29727
6E-8;2.4105157
8E-8;-3.6723964
1E-7;-3.4863499
1.2E-7;-3.4823054
1.4E-7;-3.5995956
1.6E-7;-3.644085
1.8E-7;-3.9555107
2E-7;-2.1274015
2.2E-7;-3.9838221
2.4E-7;2.3700708
2.6E-7;-2.1678464
2.8E-7;2.0829121
3E-7;-2.7987867
3.2E-7;2.0424672
3.4E-7;-0.36804854
3.6E-7;3.0535895
3.8E-7;2.669363
4E-7;0.83720932
4.2E-7;1.6582407
4.4E-7;-1.2214358
4.6E-7;1.4924166
4.8E-7;-1.9939333
5E-7;1.1607685
5.2E-7;-0.63498485
5.4E-7;0.44084935
5.6E-7;-1.5652174
5.8E-7;-0.76036402
6E-7;-1.7997978
6.2E-7;-1.6016178
6.4E-7;-2.3336704
6.6E-7;-2.4226492
6.8E-7;-2.2689586
7E-7;-2.3498484
7.2E-7;-1.9939333
7.4E-7;-3.5591507
7.6E-7;-1.1526795
7.8E-7;-3.3852377
8E-7;-1.7593529
8.2E-7;-3.0697675
8.4E-7;-1.5611729
8.6E-7;-2.9201214
8.8E-7;-1.3791709
9E-7;-2.3822043
9.2E-7;-0.95449951
9.4E-7;-1.6541962
9.6E-7;-0.67542974
9.8E-7;-0.76036402
1E-6;-0.45702731
1.02E-6;0.26289182
1.04E-6;-0.40849344
1.06E-6;0.768453
1.08E-6;-0.14155713
1.1E-6;1.2821032
1.12E-6;0.17795754
1.14E-6;1.528817
1.16E-6;0.59049546
1.18E-6;1.6420627
1.2E-6;0.86552075
1.22E-6;1.520728
1.24E-6;1.0879677
1.26E-6;1.2133468
1.28E-6;1.2659252
1.3E-6;0.93023258
1.32E-6;1.3104146
1.34E-6;0.64711832
1.36E-6;1.2901921
1.38E-6;0.44489384
1.4E-6;1.1890799
1.42E-6;0.33569263
1.44E-6;0.86956524
1.46E-6;0.19413549
1.48E-6;0.74014157
1.5E-6;0.16986856
1.52E-6;0.33164814
1.54E-6;0.16177958
1.56E-6;0.12537917
1.58E-6;0.26289182
1.6E-6;-0.068756321
1.62E-6;0.35187058
1.64E-6;-0.14560162
1.66E-6;0.38018201
1.68E-6;-0.1536906
1.7E-6;0.35591507
1.72E-6;-0.14155713
1.74E-6;0.27502528
1.76E-6;0.0768453
1.78E-6;0.31951467
1.8E-6;0.22244692
1.82E-6;0.36400405
1.84E-6;0.50151669
1.86E-6;0.4206269
1.88E-6;0.71587464
1.9E-6;0.47320527
1.92E-6;0.9221436
1.94E-6;0.57027302
1.96E-6;1.0030334
1.98E-6;0.71587464
2E-6;1.0111224
2.02E-6;0.80080891
2.04E-6;1.0313448
2.06E-6;0.91001013
2.08E-6;1.0515673
2.1E-6;0.9989889
2.12E-6;0.958544
2.14E-6;1.0758342
2.16E-6;0.88978768
2.18E-6;1.0353893
2.2E-6;0.80080891
2.22E-6;0.9989889
2.24E-6;0.79271994
2.26E-6;0.98685543
2.28E-6;0.71587464
2.3E-6;0.8816987
2.32E-6;0.67542974
2.34E-6;0.73205259
2.36E-6;0.68756321
2.38E-6;0.6147624
2.4E-6;0.68756321
2.42E-6;0.55813955
2.44E-6;0.58645097
2.46E-6;0.43680486
2.48E-6;0.66734076
2.5E-6;0.43680486
2.52E-6;0.64711832
2.54E-6;0.42467139
2.56E-6;0.58645097
2.58E-6;0.48129425
2.6E-6;0.59049546
2.62E-6;0.43680486
2.64E-6;0.6147624
2.66E-6;0.49342772
2.68E-6;0.46511629
2.7E-6;0.58240648
2.72E-6;0.43680486
2.74E-6;0.62689587
2.76E-6;0.52982812
2.78E-6;0.76440851
2.8E-6;0.52982812
2.82E-6;0.6147624
2.84E-6;0.77654198
2.86E-6;0.6147624
2.88E-6;0.72396362
2.9E-6;0.59049546
2.92E-6;0.62689587
2.94E-6;0.66329627
2.96E-6;0.61071791
2.98E-6;0.59453995
3E-6;0.58240648
3.02E-6;0.50151669
3.04E-6;0.52578363
3.06E-6;0.52982812
3.08E-6;0.45298282
3.1E-6;0.49342772
3.12E-6;0.42871588
3.14E-6;0.48533874
3.16E-6;0.50151669
3.18E-6;0.43276037
3.2E-6;0.47724976
3.22E-6;0.39635997
3.24E-6;0.42871588
3.26E-6;0.35591507
3.28E-6;0.33973712
3.3E-6;0.38827099
3.32E-6;0.38018201
3.34E-6;0.35187058
3.36E-6;0.37209303
3.38E-6;0.3437816
3.4E-6;0.33164814
3.42E-6;0.27906977
3.44E-6;0.29524773
3.46E-6;0.29524773
3.48E-6;0.28715875
3.5E-6;0.27098079
3.52E-6;0.24671386
3.54E-6;0.29929222
3.56E-6;0.27098079
3.58E-6;0.33569263
3.6E-6;0.3073812
3.62E-6;0.31951467
3.64E-6;0.31142569
3.66E-6;0.32355916
3.68E-6;0.22244692
3.7E-6;0.27906977
3.72E-6;0.3073812
3.74E-6;0.27502528
3.76E-6;0.29524773
3.78E-6;0.29929222
3.8E-6;0.23458039
3.82E-6;0.19817998
3.84E-6;0.21435794
3.86E-6;0.11324571
3.88E-6;0.27502528
3.9E-6;0.088978768
3.92E-6;0.20222447
3.94E-6;0.16986856
3.96E-6;0.20626896
3.98E-6;0.19413549
4E-6;0.18200203
4.02E-6;0.15773509
4.04E-6;0.19817998
4.06E-6;0.13346815
4.08E-6;0.19009101
4.1E-6;0.19817998
4.12E-6;0.10920122
4.14E-6;0.16177958
4.16E-6;0.080889789
4.18E-6;0.16177958
4.2E-6;0.068756321
4.22E-6;0.15773509
4.24E-6;0.088978768
4.26E-6;0.080889789
4.28E-6;0.0768453
4.3E-6;0.11729019
4.32E-6;0.084934279
4.34E-6;0.044489384
4.36E-6;0.15773509
4.38E-6;0.060667342
4.4E-6;0.14155713
4.42E-6;0
4.44E-6;0.14964611
4.46E-6;-0.016177958
4.48E-6;0.10515673
4.5E-6;-0.012133468
4.52E-6;0.048533874
4.54E-6;0.064711832
4.56E-6;0.036400405
4.58E-6;0.088978768
4.6E-6;0.084934279
4.62E-6;0.064711832
4.64E-6;0
4.66E-6;0.048533874
4.68E-6;-0.0040444895
4.7E-6;0.020222447
4.72E-6;-0.0080889789
4.74E-6;0.052578363
4.76E-6;-0.024266937
4.78E-6;0.056622853
4.8E-6;-0.044489384
4.82E-6;-0.012133468
4.84E-6;-0.016177958
4.86E-6;0.0080889789
4.88E-6;0.032355916
4.9E-6;-0.024266937
4.92E-6;0.036400405
4.94E-6;-0.0768453
4.96E-6;0.0040444895
4.98E-6;-0.0040444895
5E-6;-0.016177958
5.02E-6;-0.0080889789
5.04E-6;0.016177958
5.06E-6;-0.0040444895
5.08E-6;-0.012133468
5.1E-6;-0.056622853
5.12E-6;-0.020222447
5.14E-6;-0.036400405
5.16E-6;-0.012133468
5.18E-6;0.0040444895
5.2E-6;0.024266937
5.22E-6;-0.028311426
5.24E-6;0.0040444895
5.26E-6;0.020222447
