ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-10 15:35:27 745m





Relative time;Ch1
s;V
0;1.6555167
2E-8;0.45731403
4E-8;-1.4638043
6E-8;-1.345981
8E-8;0.1777334
1E-7;1.1742386
1.2E-7;0.69495756
1.4E-7;-0.33549676
1.6E-7;-0.42935597
1.8E-7;0.41737394
2E-7;0.94458313
2.2E-7;0.42536196
2.4E-7;-0.28956565
2.6E-7;-0.12181727
2.8E-7;0.36545182
3E-7;0.41937094
3.2E-7;0.28157763
3.4E-7;0.047928108
3.6E-7;-0.15776336
3.8E-7;0.0099850225
4E-7;0.37743385
4.2E-7;0.33749376
4.4E-7;-0.087868198
4.6E-7;-0.12980529
4.8E-7;0.095856216
5E-7;-0.27758362
5.2E-7;0.11582626
5.4E-7;-0.055916126
5.6E-7;-0.49725412
5.8E-7;-0.061907139
6E-7;0.27159261
6.2E-7;0.24563155
6.4E-7;0.12581128
6.6E-7;0.22566151
6.8E-7;0.27958063
7E-7;0.3115327
7.2E-7;0.43734398
7.4E-7;0.28557164
7.6E-7;0.21168248
7.8E-7;0.3574638
8E-7;0.41138293
8.2E-7;0.43534698
8.4E-7;0.47728407
8.6E-7;0.37943085
8.8E-7;0.30753869
9E-7;0.37144284
9.2E-7;0.42935597
9.4E-7;0.35147279
9.6E-7;0.29156266
9.8E-7;0.31752371
1E-6;0.32750874
1.02E-6;0.3534698
1.04E-6;0.37943085
1.06E-6;0.32950574
1.08E-6;0.27159261
1.1E-6;0.28157763
1.12E-6;0.31752371
1.14E-6;0.3095357
1.16E-6;0.29955067
1.18E-6;0.28956565
1.2E-6;0.25361957
1.22E-6;0.24363455
1.24E-6;0.2656016
1.26E-6;0.26160759
1.28E-6;0.24363455
1.3E-6;0.18771842
1.32E-6;0.23564653
1.34E-6;0.31952072
1.36E-6;0.25761358
1.38E-6;0.14777833
1.4E-6;0.14977534
1.42E-6;0.18771842
1.44E-6;0.19570644
1.46E-6;0.16375437
1.48E-6;0.11982027
1.5E-6;0.07988018
1.52E-6;0.09785322
1.54E-6;0.16175736
1.56E-6;0.17373939
1.58E-6;0.13979031
1.6E-6;0.15376935
1.62E-6;0.20569146
1.64E-6;0.24363455
1.66E-6;0.20369446
1.68E-6;0.12980529
1.7E-6;0.10783824
1.72E-6;0.10184723
1.74E-6;0.14777833
1.76E-6;0.19171243
1.78E-6;0.16175736
1.8E-6;0.15376935
1.82E-6;0.081877184
1.84E-6;0.015976036
1.86E-6;0.049925112
1.88E-6;0.07988018
1.9E-6;0.10584124
1.92E-6;0.15976036
1.94E-6;0.21367948
1.96E-6;0.22765851
1.98E-6;0.19370944
2E-6;0.11183225
2.02E-6;0.051922117
2.04E-6;0.061907139
2.06E-6;0.07988018
2.08E-6;0.11183225
2.1E-6;0.14977534
2.12E-6;0.15376935
2.14E-6;0.15177234
2.16E-6;0.14578133
2.18E-6;0.11982027
2.2E-6;0.027958063
2.22E-6;0.071892162
2.24E-6;0.07988018
2.26E-6;0.089865202
2.28E-6;0.10384423
2.3E-6;0.091862207
2.32E-6;0.089865202
2.34E-6;0.063904144
2.36E-6;0.069895157
2.38E-6;0.053919121
2.4E-6;0.071892162
2.42E-6;0.003994009
2.44E-6;0.033949076
2.46E-6;0.053919121
2.48E-6;0.069895157
2.5E-6;0.11582626
2.52E-6;0.091862207
2.54E-6;0.041937094
2.56E-6;0.03994009
2.58E-6;0.07988018
2.6E-6;0.063904144
2.62E-6;0.01797304
2.64E-6;0.023964054
2.66E-6;0.053919121
2.68E-6;0.055916126
2.7E-6;0.051922117
2.72E-6;0.031952072
2.74E-6;0.01797304
2.76E-6;0.021967049
2.78E-6;0.021967049
2.8E-6;0.011982027
2.82E-6;-0.0059910135
2.84E-6;-0.007988018
2.86E-6;0.01797304
2.88E-6;0.031952072
2.9E-6;0.023964054
2.92E-6;0.021967049
2.94E-6;0.031952072
2.96E-6;0.037943085
2.98E-6;0.027958063
3E-6;0.025961058
3.02E-6;0.03994009
3.04E-6;0.051922117
3.06E-6;0.05791313
3.08E-6;0.075886171
3.1E-6;0.07988018
3.12E-6;0.053919121
3.14E-6;0.031952072
3.16E-6;0.041937094
3.18E-6;0.049925112
3.2E-6;0.037943085
3.22E-6;0.021967049
3.24E-6;0.027958063
3.26E-6;0.029955067
3.28E-6;0.021967049
3.3E-6;0.015976036
3.32E-6;0.007988018
3.34E-6;0.0019970045
3.36E-6;0
3.38E-6;-0.0019970045
3.4E-6;-0.0019970045
3.42E-6;0.007988018
3.44E-6;0.0059910135
3.46E-6;-0.013979031
