ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-10 15:33:36 021m





Relative time Ch1
s V
0 0.27758362
2E-8 -2.6360459
4E-8 -3.6605092
6E-8 -3.9201198
8E-8 -1.3999002
1E-7 -1.4338492
1.2E-7 -1.759361
1.4E-7 -0.78282576
1.6E-7 0.99650524
1.8E-7 0.96255617
2E-7 -0.51123315
2.2E-7 -1.4198702
2.4E-7 -0.46530205
2.6E-7 0.85871193
2.8E-7 1.0943585
3E-7 0.19171243
3.2E-7 -0.48127808
3.4E-7 0.0059910135
3.6E-7 0.7109336
3.8E-7 0.64103844
4E-7 0.047928108
4.2E-7 -0.18172741
4.4E-7 0.11782327
4.6E-7 0.3554668
4.8E-7 0.32151772
5E-7 0.16375437
5.2E-7 -0.053919121
5.4E-7 -0.013979031
5.6E-7 0.28357464
5.8E-7 0.35946081
6E-7 0.071892162
6.2E-7 -0.1757364
6.4E-7 0.11582626
6.6E-7 0.10584124
6.8E-7 -0.071892162
7E-7 0.3095357
7.2E-7 -0.45531703
7.4E-7 -0.53919121
7.6E-7 -0.32750874
7.8E-7 -0.065901148
8E-7 0.093859211
8.2E-7 0.23964054
8.4E-7 0.31752371
8.6E-7 0.28956565
8.8E-7 0.32151772
9E-7 0.30753869
9.2E-7 0.14777833
9.4E-7 0.23764354
9.6E-7 0.33349975
9.8E-7 0.37943085
1E-6 0.46530205
1.02E-6 0.37943085
1.04E-6 0.26959561
1.06E-6 0.29156266
1.08E-6 0.36944583
1.1E-6 0.39141288
1.12E-6 0.33349975
1.14E-6 0.27958063
1.16E-6 0.27758362
1.18E-6 0.30354468
1.2E-6 0.34947579
1.22E-6 0.3095357
1.24E-6 0.25162257
1.26E-6 0.24163754
1.28E-6 0.28157763
1.3E-6 0.28756865
1.32E-6 0.27358962
1.34E-6 0.23764354
1.36E-6 0.2236645
1.38E-6 0.2236645
1.4E-6 0.24762856
1.42E-6 0.23964054
1.44E-6 0.2216675
1.46E-6 0.21168248
1.48E-6 0.20369446
1.5E-6 0.18572142
1.52E-6 0.19770345
1.54E-6 0.19570644
1.56E-6 0.18572142
1.58E-6 0.1797304
1.6E-6 0.17373939
1.62E-6 0.15376935
1.64E-6 0.14578133
1.66E-6 0.14178732
1.68E-6 0.14578133
1.7E-6 0.14777833
1.72E-6 0.15776336
1.74E-6 0.14378432
1.76E-6 0.1337993
1.78E-6 0.12581128
1.8E-6 0.12581128
1.82E-6 0.12581128
1.84E-6 0.1318023
1.86E-6 0.12980529
1.88E-6 0.12780829
1.9E-6 0.12581128
1.92E-6 0.12381428
1.94E-6 0.11782327
1.96E-6 0.11582626
1.98E-6 0.13779331
2E-6 0.15177234
2.02E-6 0.15776336
2.04E-6 0.15177234
2.06E-6 0.14578133
2.08E-6 0.1337993
2.1E-6 0.12381428
2.12E-6 0.12381428
2.14E-6 0.14378432
2.16E-6 0.15376935
2.18E-6 0.14977534
2.2E-6 0.13979031
2.22E-6 0.13579631
2.24E-6 0.13979031
2.26E-6 0.11582626
2.28E-6 0.10384423
2.3E-6 0.10584124
2.32E-6 0.11782327
2.34E-6 0.11382926
2.36E-6 0.11183225
2.38E-6 0.087868198
2.4E-6 0.075886171
2.42E-6 0.061907139
2.44E-6 0.05791313
2.46E-6 0.059910135
2.48E-6 0.085871193
2.5E-6 0.087868198
2.52E-6 0.081877184
2.54E-6 0.089865202
2.56E-6 0.095856216
2.58E-6 0.081877184
2.6E-6 0.069895157
2.62E-6 0.073889166
2.64E-6 0.063904144
2.66E-6 0.061907139
2.68E-6 0.071892162
2.7E-6 0.07988018
2.72E-6 0.071892162
2.74E-6 0.065901148
2.76E-6 0.059910135
2.78E-6 0.059910135
2.8E-6 0.053919121
