ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-11 11:29:51 018m





Relative time;Ch1
s;V
0;0.89383217
2E-8;2.3660263
4E-8;1.726997
6E-8;-2.4833165
8E-8;-3.6723964
1E-7;-4.0202225
1.2E-7;-3.8948434
1.4E-7;-3.7290193
1.6E-7;-3.6319515
1.8E-7;-1.9898888
2E-7;-1.156724
2.2E-7;-0.12537917
2.4E-7;0.21435794
2.6E-7;0.38827099
2.8E-7;0.11729019
3E-7;-0.040444895
3.2E-7;0.13751264
3.4E-7;0.67947423
3.6E-7;1.1081901
3.8E-7;0.92618809
4E-7;0.57836199
4.2E-7;0.14964611
4.4E-7;0.052578363
4.6E-7;-0.060667342
4.8E-7;0.0040444895
5E-7;0.10515673
5.2E-7;0.080889789
5.4E-7;-0.080889789
5.6E-7;-0.33973712
5.8E-7;-0.44893833
6E-7;-0.5379171
6.2E-7;-0.6147624
6.4E-7;-0.76036402
6.6E-7;-0.75631953
6.8E-7;-0.73609708
7E-7;-0.8452983
7.2E-7;-0.8452983
7.4E-7;-0.73205259
7.6E-7;-0.82103136
7.8E-7;-0.8048534
8E-7;-0.74418606
8.2E-7;-0.77654198
8.4E-7;-0.78463096
8.6E-7;-0.70374117
8.8E-7;-0.62285138
9E-7;-0.57027302
9.2E-7;-0.45702731
9.4E-7;-0.35187058
9.6E-7;-0.28715875
9.8E-7;-0.20222447
1E-6;-0.080889789
1.02E-6;-0.020222447
1.04E-6;0.048533874
1.06E-6;0.12133468
1.08E-6;0.19009101
1.1E-6;0.24266937
1.12E-6;0.30333671
1.14E-6;0.35187058
1.16E-6;0.39231548
1.18E-6;0.42871588
1.2E-6;0.45298282
1.22E-6;0.45298282
1.24E-6;0.45702731
1.26E-6;0.44084935
1.28E-6;0.42467139
1.3E-6;0.41253793
1.32E-6;0.3842265
1.34E-6;0.35995956
1.36E-6;0.32760365
1.38E-6;0.30333671
1.4E-6;0.28311426
1.42E-6;0.24266937
1.44E-6;0.21031345
1.46E-6;0.19009101
1.48E-6;0.16986856
1.5E-6;0.14560162
1.52E-6;0.12537917
1.54E-6;0.10515673
1.56E-6;0.093023258
1.58E-6;0.0768453
1.6E-6;0.068756321
1.62E-6;0.064711832
1.64E-6;0.068756321
1.66E-6;0.068756321
1.68E-6;0.056622853
1.7E-6;0.064711832
1.72E-6;0.080889789
1.74E-6;0.084934279
1.76E-6;0.088978768
1.78E-6;0.10515673
1.8E-6;0.12942366
1.82E-6;0.16177958
1.84E-6;0.19009101
1.86E-6;0.21031345
1.88E-6;0.2305359
1.9E-6;0.24671386
1.92E-6;0.2669363
1.94E-6;0.28715875
1.96E-6;0.3073812
1.98E-6;0.31951467
2E-6;0.33164814
2.02E-6;0.33973712
2.04E-6;0.35187058
2.06E-6;0.35995956
2.08E-6;0.36804854
2.1E-6;0.35995956
2.12E-6;0.35995956
2.14E-6;0.35591507
2.16E-6;0.35591507
2.18E-6;0.34782609
2.2E-6;0.34782609
2.22E-6;0.34782609
2.24E-6;0.33164814
2.26E-6;0.33164814
2.28E-6;0.32760365
2.3E-6;0.31547018
2.32E-6;0.29524773
2.34E-6;0.27906977
2.36E-6;0.26289182
2.38E-6;0.25075835
2.4E-6;0.24671386
2.42E-6;0.23862488
2.44E-6;0.23458039
2.46E-6;0.23862488
2.48E-6;0.22244692
2.5E-6;0.21840243
2.52E-6;0.21840243
2.54E-6;0.21435794
2.56E-6;0.21435794
2.58E-6;0.21031345
2.6E-6;0.20222447
2.62E-6;0.20626896
2.64E-6;0.21031345
2.66E-6;0.21031345
2.68E-6;0.21840243
2.7E-6;0.21840243
2.72E-6;0.21840243
2.74E-6;0.22649141
2.76E-6;0.22649141
2.78E-6;0.23458039
2.8E-6;0.23862488
2.82E-6;0.25884733
2.84E-6;0.27098079
2.86E-6;0.27502528
2.88E-6;0.2669363
2.9E-6;0.25480284
2.92E-6;0.25480284
