ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-11 10:34:29 970m





Relative time Ch1
s V
0 0.91001013
2E-8 2.2366027
4E-8 1.7997978
6E-8 -1.8240648
8E-8 -3.7492417
1E-7 -3.9069768
1.2E-7 -3.8099091
1.4E-7 -3.7330638
1.6E-7 -3.8867544
1.8E-7 -3.8867544
2E-7 -3.2598585
2.2E-7 -0.80080891
2.4E-7 0.20626896
2.6E-7 0.66329627
2.8E-7 0.16582407
3E-7 0.21840243
3.2E-7 0.93832156
3.4E-7 1.9534884
3.6E-7 2.09909
3.8E-7 1.743175
4E-7 1.0677452
4.2E-7 0.42467139
4.4E-7 0.12537917
4.6E-7 -0.32760365
4.8E-7 -0.060667342
5E-7 -0.028311426
5.2E-7 -0.1536906
5.4E-7 -0.73205259
5.6E-7 -1.2982811
5.8E-7 -1.6097068
6E-7 -1.9575329
6.2E-7 -2.2689586
6.4E-7 -2.5480284
6.6E-7 -2.4833165
6.8E-7 -2.6006067
7E-7 -2.6531851
7.2E-7 -2.7826088
7.4E-7 -2.6167847
7.6E-7 -2.6531851
7.8E-7 -2.6289182
8E-7 -2.5561173
8.2E-7 -2.6370071
8.4E-7 -2.511628
8.6E-7 -2.313448
8.8E-7 -2.0546007
9E-7 -1.7755309
9.2E-7 -1.3953489
9.4E-7 -1.0879677
9.6E-7 -0.81294238
9.8E-7 -0.45702731
1E-6 -0.18200203
1.02E-6 0.044489384
1.04E-6 0.27098079
1.06E-6 0.52173914
1.08E-6 0.73205259
1.1E-6 0.93427707
1.12E-6 1.1122346
1.14E-6 1.2537917
1.16E-6 1.354904
1.18E-6 1.4277048
1.2E-6 1.4924166
1.22E-6 1.5126391
1.24E-6 1.4843276
1.26E-6 1.4196158
1.28E-6 1.362993
1.3E-6 1.3225481
1.32E-6 1.2618807
1.34E-6 1.156724
1.36E-6 1.0313448
1.38E-6 0.94236605
1.4E-6 0.84934279
1.42E-6 0.74418606
1.44E-6 0.63094036
1.46E-6 0.54196159
1.48E-6 0.43680486
1.5E-6 0.33569263
1.52E-6 0.2305359
1.54E-6 0.16177958
1.56E-6 0.11729019
1.58E-6 0.12133468
1.6E-6 0.14155713
1.62E-6 0.14964611
1.64E-6 0.11324571
1.66E-6 0.10111224
1.68E-6 0.10111224
1.7E-6 0.12537917
1.72E-6 0.12537917
1.74E-6 0.1536906
1.76E-6 0.19817998
1.78E-6 0.25480284
1.8E-6 0.33569263
1.82E-6 0.44489384
1.84E-6 0.54600608
1.86E-6 0.63902934
1.88E-6 0.71183015
1.9E-6 0.79271994
1.92E-6 0.87360973
1.94E-6 0.93832156
1.96E-6 0.9989889
1.98E-6 1.0515673
2E-6 1.0879677
2.02E-6 1.1284126
2.04E-6 1.1688575
2.06E-6 1.1890799
2.08E-6 1.1890799
2.1E-6 1.1850354
2.12E-6 1.1769464
2.14E-6 1.164813
2.16E-6 1.1445905
2.18E-6 1.1203236
2.2E-6 1.1001011
2.22E-6 1.0758342
2.24E-6 1.0434783
2.26E-6 1.0273003
2.28E-6 0.97876645
2.3E-6 0.93427707
2.32E-6 0.88574319
2.34E-6 0.81294238
2.36E-6 0.75227504
2.38E-6 0.71587464
2.4E-6 0.71183015
2.42E-6 0.69969668
2.44E-6 0.67947423
2.46E-6 0.64711832
2.48E-6 0.62285138
2.5E-6 0.59453995
2.52E-6 0.56622853
2.54E-6 0.56218404
2.56E-6 0.57027302
2.58E-6 0.5743175
2.6E-6 0.56622853
2.62E-6 0.55005057
2.64E-6 0.55409506
2.66E-6 0.57027302
2.68E-6 0.59453995
2.7E-6 0.6147624
2.72E-6 0.6511628
2.74E-6 0.68351872
2.76E-6 0.69969668
2.78E-6 0.68351872
2.8E-6 0.68756321
2.82E-6 0.74014157
2.84E-6 0.75227504
2.86E-6 0.79271994
2.88E-6 0.78058647
2.9E-6 0.78463096
2.92E-6 0.77654198
2.94E-6 0.74823055
2.96E-6 0.73205259
2.98E-6 0.72396362
3E-6 0.68351872
3.02E-6 0.66734076
3.04E-6 0.6511628
3.06E-6 0.65520729
3.08E-6 0.65925178
3.1E-6 0.64711832
3.12E-6 0.60667342
3.14E-6 0.58240648
3.16E-6 0.57027302
3.18E-6 0.56218404
3.2E-6 0.5379171
3.22E-6 0.53387261
3.24E-6 0.53387261
3.26E-6 0.52173914
3.28E-6 0.50151669
3.3E-6 0.47320527
3.32E-6 0.45298282
3.34E-6 0.42871588
3.36E-6 0.4206269
3.38E-6 0.42467139
3.4E-6 0.43276037
3.42E-6 0.40040446
3.44E-6 0.35591507
3.46E-6 0.34782609
3.48E-6 0.35995956
3.5E-6 0.36804854
3.52E-6 0.37209303
3.54E-6 0.37613752
3.56E-6 0.38018201
3.58E-6 0.37613752
3.6E-6 0.36400405
3.62E-6 0.36804854
3.64E-6 0.36400405
3.66E-6 0.35591507
3.68E-6 0.34782609
3.7E-6 0.34782609
3.72E-6 0.35187058
3.74E-6 0.33973712
3.76E-6 0.33164814
3.78E-6 0.32760365
3.8E-6 0.3437816
3.82E-6 0.33164814
3.84E-6 0.31547018
3.86E-6 0.32355916
3.88E-6 0.33164814
3.9E-6 0.32355916
3.92E-6 0.29929222
3.94E-6 0.29120324
3.96E-6 0.29120324
3.98E-6 0.28715875
4E-6 0.27906977
4.02E-6 0.27098079
4.04E-6 0.27906977
4.06E-6 0.27098079
4.08E-6 0.25884733
4.1E-6 0.24671386
4.12E-6 0.22649141
4.14E-6 0.21840243
4.16E-6 0.21840243
4.18E-6 0.20222447
4.2E-6 0.18604652
4.22E-6 0.21031345
4.24E-6 0.22244692
4.26E-6 0.19413549
4.28E-6 0.19009101
4.3E-6 0.19413549
4.32E-6 0.19817998
4.34E-6 0.19009101
4.36E-6 0.18200203
4.38E-6 0.16986856
4.4E-6 0.16582407
4.42E-6 0.16986856
4.44E-6 0.1536906
4.46E-6 0.16177958
4.48E-6 0.17795754
4.5E-6 0.19009101
4.52E-6 0.19817998
4.54E-6 0.17795754
4.56E-6 0.1536906
4.58E-6 0.13751264
4.6E-6 0.10111224
4.62E-6 0.10515673
4.64E-6 0.13751264
4.66E-6 0.14964611
4.68E-6 0.12133468
4.7E-6 0.10920122
4.72E-6 0.11324571
4.74E-6 0.12133468
4.76E-6 0.14155713
4.78E-6 0.13346815
4.8E-6 0.12537917
4.82E-6 0.10920122
4.84E-6 0.097067747
4.86E-6 0.093023258
4.88E-6 0.10111224
4.9E-6 0.11729019
4.92E-6 0.11729019
4.94E-6 0.10920122
4.96E-6 0.10111224
4.98E-6 0.12133468
5E-6 0.11324571
5.02E-6 0.084934279
5.04E-6 0.07280081
5.06E-6 0.060667342
5.08E-6 0.052578363
5.1E-6 0.080889789
5.12E-6 0.093023258
5.14E-6 0.084934279
5.16E-6 0.068756321
5.18E-6 0.056622853
5.2E-6 0.052578363
5.22E-6 0.064711832
5.24E-6 0.068756321
5.26E-6 0.056622853
5.28E-6 0.052578363
5.3E-6 0.044489384
5.32E-6 0.024266937
5.34E-6 0.0080889789
5.36E-6 0
5.38E-6 -0.0040444895
5.4E-6 0.020222447
5.42E-6 0.040444895
5.44E-6 0.044489384
5.46E-6 0.048533874
5.48E-6 0.044489384
5.5E-6 0.052578363
5.52E-6 0.036400405
5.54E-6 0.028311426
5.56E-6 0.040444895
5.58E-6 0.044489384
5.6E-6 0.052578363
5.62E-6 0.052578363
5.64E-6 0.020222447
5.66E-6 0.0080889789
5.68E-6 0.0080889789
5.7E-6 0.016177958
5.72E-6 0.0080889789
5.74E-6 0.0080889789
5.76E-6 0
5.78E-6 -0.0040444895
5.8E-6 -0.0080889789
5.82E-6 -0.016177958
5.84E-6 -0.012133468
5.86E-6 -0.0040444895
5.88E-6 -0.0040444895
5.9E-6 -0.0080889789
