ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-11 11:16:49 749m





Relative time;Ch1
s;V
0;0.48234106
2E-8;1.334006
4E-8;1.5549949
6E-8;0.59838546
8E-8;-0.65893037
1E-7;-1.3995964
1.2E-7;-1.0443996
1.4E-7;-0.51160443
1.6E-7;-0.18466196
1.8E-7;-0.21695257
2E-7;-0.24419778
2.2E-7;-0.15539859
2.4E-7;-0.063572149
2.6E-7;0.025227043
2.8E-7;0.053481331
3E-7;0.038345105
3.2E-7;0.0030272452
3.4E-7;0.011099899
3.6E-7;0.048435923
3.8E-7;0.1049445
4E-7;0.14127144
4.2E-7;0.12008073
4.4E-7;0.071644802
4.6E-7;0.028254288
4.8E-7;0.016145308
5E-7;-0.0010090817
5.2E-7;0.0060544903
5.4E-7;0.017154389
5.6E-7;0.014127144
5.8E-7;-0.0030272452
6E-7;-0.025227043
6.2E-7;-0.031281533
6.4E-7;-0.038345105
6.6E-7;-0.094853682
6.8E-7;-0.10595358
7E-7;0.027245207
7.2E-7;-0.078708374
7.4E-7;-0.10696266
7.6E-7;-0.059535822
7.8E-7;-0.018163471
8E-7;-0.12008073
8.2E-7;-0.045408678
8.4E-7;-0.044399596
8.6E-7;-0.069626639
8.8E-7;-0.072653884
9E-7;-0.037336024
9.2E-7;-0.043390514
9.4E-7;-0.05247225
9.6E-7;-0.02320888
9.8E-7;-0.014127144
1E-6;-0.021190716
1.02E-6;-0.0030272452
1.04E-6;0.0090817355
1.06E-6;0.0090817355
1.08E-6;0.017154389
1.1E-6;0.028254288
1.12E-6;0.032290615
1.14E-6;0.036326942
1.16E-6;0.044399596
1.18E-6;0.047426841
1.2E-6;0.047426841
1.22E-6;0.054490413
1.24E-6;0.056508576
1.26E-6;0.054490413
1.28E-6;0.05247225
1.3E-6;0.054490413
1.32E-6;0.049445004
1.34E-6;0.049445004
1.36E-6;0.049445004
1.38E-6;0.045408678
1.4E-6;0.040363269
1.42E-6;0.042381432
1.44E-6;0.040363269
1.46E-6;0.034308779
1.48E-6;0.031281533
1.5E-6;0.030272452
1.52E-6;0.027245207
1.54E-6;0.026236125
1.56E-6;0.022199798
1.58E-6;0.017154389
1.6E-6;0.018163471
1.62E-6;0.021190716
1.64E-6;0.022199798
1.66E-6;0.020181634
1.68E-6;0.017154389
1.7E-6;0.014127144
1.72E-6;0.015136226
1.74E-6;0.017154389
1.76E-6;0.017154389
1.78E-6;0.019172553
1.8E-6;0.021190716
1.82E-6;0.024217961
1.84E-6;0.025227043
1.86E-6;0.028254288
1.88E-6;0.027245207
1.9E-6;0.032290615
1.92E-6;0.034308779
1.94E-6;0.03531786
1.96E-6;0.034308779
1.98E-6;0.034308779
2E-6;0.037336024
2.02E-6;0.043390514
2.04E-6;0.044399596
2.06E-6;0.042381432
2.08E-6;0.045408678
2.1E-6;0.043390514
2.12E-6;0.044399596
2.14E-6;0.042381432
2.16E-6;0.040363269
2.18E-6;0.041372351
2.2E-6;0.042381432
2.22E-6;0.041372351
2.24E-6;0.040363269
2.26E-6;0.039354187
2.28E-6;0.044399596
2.3E-6;0.042381432
2.32E-6;0.042381432
2.34E-6;0.040363269
2.36E-6;0.037336024
2.38E-6;0.036326942
2.4E-6;0.033299697
2.42E-6;0.036326942
2.44E-6;0.032290615
2.46E-6;0.030272452
2.48E-6;0.033299697
2.5E-6;0.034308779
2.52E-6;0.033299697
2.54E-6;0.032290615
2.56E-6;0.030272452
2.58E-6;0.030272452
2.6E-6;0.027245207
2.62E-6;0.030272452
2.64E-6;0.030272452
2.66E-6;0.028254288
2.68E-6;0.031281533
2.7E-6;0.028254288
2.72E-6;0.027245207
2.74E-6;0.030272452
2.76E-6;0.032290615
2.78E-6;0.032290615
2.8E-6;0.031281533
2.82E-6;0.031281533
2.84E-6;0.031281533
2.86E-6;0.034308779
2.88E-6;0.03531786
2.9E-6;0.03531786
2.92E-6;0.034308779
2.94E-6;0.033299697
2.96E-6;0.034308779
2.98E-6;0.031281533
3E-6;0.031281533
3.02E-6;0.033299697
3.04E-6;0.028254288
3.06E-6;0.030272452
3.08E-6;0.02926337
3.1E-6;0.031281533
3.12E-6;0.026236125
3.14E-6;0.026236125
3.16E-6;0.027245207
3.18E-6;0.027245207
3.2E-6;0.02926337
3.22E-6;0.027245207
3.24E-6;0.025227043
3.26E-6;0.025227043
3.28E-6;0.025227043
3.3E-6;0.02926337
3.32E-6;0.02926337
3.34E-6;0.026236125
3.36E-6;0.022199798
3.38E-6;0.025227043
3.4E-6;0.02320888
3.42E-6;0.02320888
3.44E-6;0.02320888
3.46E-6;0.019172553
3.48E-6;0.021190716
3.5E-6;0.027245207
3.52E-6;0.026236125
3.54E-6;0.02320888
3.56E-6;0.021190716
3.58E-6;0.018163471
3.6E-6;0.021190716
3.62E-6;0.027245207
3.64E-6;0.021190716
3.66E-6;0.021190716
3.68E-6;0.018163471
3.7E-6;0.020181634
3.72E-6;0.019172553
3.74E-6;0.020181634
3.76E-6;0.021190716
3.78E-6;0.019172553
3.8E-6;0.021190716
3.82E-6;0.021190716
3.84E-6;0.020181634
3.86E-6;0.021190716
3.88E-6;0.022199798
3.9E-6;0.022199798
3.92E-6;0.018163471
3.94E-6;0.018163471
3.96E-6;0.019172553
3.98E-6;0.020181634
4E-6;0.021190716
4.02E-6;0.019172553
4.04E-6;0.019172553
4.06E-6;0.018163471
4.08E-6;0.017154389
4.1E-6;0.015136226
4.12E-6;0.015136226
4.14E-6;0.016145308
4.16E-6;0.021190716
4.18E-6;0.017154389
4.2E-6;0.016145308
4.22E-6;0.016145308
4.24E-6;0.017154389
4.26E-6;0.018163471
4.28E-6;0.016145308
4.3E-6;0.015136226
4.32E-6;0.015136226
4.34E-6;0.018163471
4.36E-6;0.020181634
4.38E-6;0.019172553
4.4E-6;0.017154389
4.42E-6;0.019172553
4.44E-6;0.016145308
4.46E-6;0.014127144
4.48E-6;0.014127144
4.5E-6;0.015136226
4.52E-6;0.015136226
4.54E-6;0.013118062
4.56E-6;0.016145308
4.58E-6;0.014127144
4.6E-6;0.014127144
4.62E-6;0.013118062
4.64E-6;0.014127144
4.66E-6;0.013118062
4.68E-6;0.015136226
4.7E-6;0.014127144
4.72E-6;0.016145308
4.74E-6;0.014127144
4.76E-6;0.015136226
4.78E-6;0.014127144
4.8E-6;0.018163471
4.82E-6;0.016145308
4.84E-6;0.017154389
4.86E-6;0.015136226
4.88E-6;0.016145308
4.9E-6;0.014127144
4.92E-6;0.013118062
4.94E-6;0.015136226
4.96E-6;0.016145308
4.98E-6;0.012108981
5E-6;0.010090817
5.02E-6;0.014127144
5.04E-6;0.015136226
5.06E-6;0.015136226
5.08E-6;0.013118062
5.1E-6;0.014127144
5.12E-6;0.016145308
5.14E-6;0.016145308
5.16E-6;0.015136226
5.18E-6;0.013118062
5.2E-6;0.012108981
5.22E-6;0.0090817355
5.24E-6;0.0080726538
5.26E-6;0.011099899
5.28E-6;0.013118062
5.3E-6;0.013118062
5.32E-6;0.013118062
5.34E-6;0.012108981
5.36E-6;0.013118062
5.38E-6;0.013118062
5.4E-6;0.013118062
5.42E-6;0.013118062
5.44E-6;0.015136226
5.46E-6;0.013118062
5.48E-6;0.015136226
5.5E-6;0.011099899
5.52E-6;0.0080726538
5.54E-6;0.011099899
5.56E-6;0.011099899
5.58E-6;0.012108981
5.6E-6;0.013118062
5.62E-6;0.013118062
5.64E-6;0.012108981
5.66E-6;0.0080726538
5.68E-6;0.013118062
5.7E-6;0.012108981
5.72E-6;0.012108981
5.74E-6;0.012108981
5.76E-6;0.013118062
5.78E-6;0.010090817
5.8E-6;0.0090817355
5.82E-6;0.0090817355
5.84E-6;0.011099899
5.86E-6;0.012108981
5.88E-6;0.010090817
5.9E-6;0.013118062
5.92E-6;0.011099899
5.94E-6;0.015136226
5.96E-6;0.012108981
5.98E-6;0.012108981
6E-6;0.012108981
6.02E-6;0.011099899
6.04E-6;0.012108981
6.06E-6;0.0090817355
6.08E-6;0.0080726538
6.1E-6;0.012108981
6.12E-6;0.010090817
6.14E-6;0.010090817
6.16E-6;0.0080726538
6.18E-6;0.011099899
6.2E-6;0.0090817355
6.22E-6;0.0080726538
6.24E-6;0.010090817
6.26E-6;0.0090817355
6.28E-6;0.011099899
6.3E-6;0.010090817
6.32E-6;0.011099899
6.34E-6;0.010090817
6.36E-6;0.0080726538
6.38E-6;0.010090817
6.4E-6;0.011099899
6.42E-6;0.011099899
6.44E-6;0.0090817355
6.46E-6;0.0080726538
6.48E-6;0.010090817
6.5E-6;0.011099899
6.52E-6;0.011099899
6.54E-6;0.012108981
6.56E-6;0.010090817
6.58E-6;0.0090817355
6.6E-6;0.010090817
6.62E-6;0.012108981
6.64E-6;0.011099899
6.66E-6;0.010090817
6.68E-6;0.012108981
6.7E-6;0.010090817
6.72E-6;0.0090817355
6.74E-6;0.011099899
6.76E-6;0.011099899
6.78E-6;0.012108981
6.8E-6;0.012108981
6.82E-6;0.012108981
6.84E-6;0.014127144
6.86E-6;0.010090817
6.88E-6;0.011099899
6.9E-6;0.011099899
6.92E-6;0.010090817
6.94E-6;0.011099899
6.96E-6;0.010090817
6.98E-6;0.012108981
7E-6;0.013118062
7.02E-6;0.014127144
7.04E-6;0.0090817355
7.06E-6;0.0090817355
7.08E-6;0.0090817355
7.1E-6;0.0090817355
7.12E-6;0.0090817355
7.14E-6;0.0090817355
7.16E-6;0.0090817355
7.18E-6;0.0090817355
7.2E-6;0.0090817355
7.22E-6;0.011099899
7.24E-6;0.011099899
7.26E-6;0.010090817
7.28E-6;0.0070635721
7.3E-6;0.0060544903
7.32E-6;0.010090817
7.34E-6;0.010090817
7.36E-6;0.0080726538
7.38E-6;0.0090817355
7.4E-6;0.011099899
7.42E-6;0.011099899
7.44E-6;0.011099899
7.46E-6;0.012108981
7.48E-6;0.014127144
7.5E-6;0.010090817
7.52E-6;0.0090817355
7.54E-6;0.010090817
7.56E-6;0.013118062
7.58E-6;0.012108981
7.6E-6;0.012108981
7.62E-6;0.011099899
7.64E-6;0.010090817
7.66E-6;0.010090817
7.68E-6;0.012108981
7.7E-6;0.011099899
7.72E-6;0.0090817355
7.74E-6;0.013118062
7.76E-6;0.0090817355
7.78E-6;0.011099899
7.8E-6;0.0080726538
7.82E-6;0.011099899
7.84E-6;0.012108981
7.86E-6;0.0090817355
7.88E-6;0.0090817355
7.9E-6;0.0060544903
7.92E-6;0.0080726538
7.94E-6;0.0090817355
7.96E-6;0.0080726538
7.98E-6;0.012108981
8E-6;0.0070635721
8.02E-6;0.0090817355
8.04E-6;0.0080726538
8.06E-6;0.0060544903
8.08E-6;0.010090817
8.1E-6;0.010090817
8.12E-6;0.012108981
8.14E-6;0.010090817
8.16E-6;0.011099899
8.18E-6;0.010090817
8.2E-6;0.012108981
8.22E-6;0.010090817
8.24E-6;0.011099899
8.26E-6;0.011099899
8.28E-6;0.010090817
8.3E-6;0.0090817355
8.32E-6;0.0080726538
8.34E-6;0.011099899
8.36E-6;0.011099899
8.38E-6;0.0090817355
8.4E-6;0.010090817
8.42E-6;0.011099899
8.44E-6;0.010090817
8.46E-6;0.010090817
8.48E-6;0.0090817355
8.5E-6;0.011099899
8.52E-6;0.011099899
8.54E-6;0.010090817
8.56E-6;0.0090817355
8.58E-6;0.0070635721
8.6E-6;0.010090817
8.62E-6;0.010090817
8.64E-6;0.010090817
8.66E-6;0.0060544903
8.68E-6;0.0090817355
8.7E-6;0.0050454086
8.72E-6;0.0090817355
8.74E-6;0.0080726538
8.76E-6;0.010090817
8.78E-6;0.0080726538
8.8E-6;0.010090817
8.82E-6;0.012108981
8.84E-6;0.014127144
8.86E-6;0.012108981
8.88E-6;0.016145308
8.9E-6;0.010090817
8.92E-6;0.011099899
8.94E-6;0.010090817
8.96E-6;0.0070635721
8.98E-6;0.010090817
9E-6;0.014127144
9.02E-6;0.012108981
9.04E-6;0.0090817355
9.06E-6;0.010090817
9.08E-6;0.011099899
9.1E-6;0.0090817355
9.12E-6;0.0070635721
9.14E-6;0.011099899
9.16E-6;0.0090817355
9.18E-6;0.013118062
9.2E-6;0.014127144
9.22E-6;0.013118062
9.24E-6;0.010090817
9.26E-6;0.0090817355
9.28E-6;0.0060544903
9.3E-6;0.0060544903
9.32E-6;0.0050454086
9.34E-6;0.0070635721
9.36E-6;0.010090817
9.38E-6;0.014127144
9.4E-6;0.014127144
9.42E-6;0.011099899
9.44E-6;0.011099899
9.46E-6;0.010090817
9.48E-6;0.011099899
9.5E-6;0.0090817355
9.52E-6;0.011099899
9.54E-6;0.011099899
9.56E-6;0.0080726538
9.58E-6;0.0090817355
9.6E-6;0.011099899
9.62E-6;0.0090817355
9.64E-6;0.0070635721
9.66E-6;0.0090817355
9.68E-6;0.011099899
9.7E-6;0.0080726538
9.72E-6;0.0090817355
9.74E-6;0.0090817355
9.76E-6;0.010090817
9.78E-6;0.013118062
9.8E-6;0.011099899
9.82E-6;0.014127144
9.84E-6;0.010090817
9.86E-6;0.012108981
9.88E-6;0.010090817
9.9E-6;0.010090817
9.92E-6;0.010090817
9.94E-6;0.013118062
9.96E-6;0.013118062
9.98E-6;0.013118062
1E-5;0.012108981
1.002E-5;0.011099899
1.004E-5;0.012108981
1.006E-5;0.014127144
1.008E-5;0.014127144
1.01E-5;0.011099899
1.012E-5;0.013118062
1.014E-5;0.0090817355
1.016E-5;0.010090817
1.018E-5;0.012108981
1.02E-5;0.011099899
1.022E-5;0.010090817
1.024E-5;0.013118062
1.026E-5;0.012108981
1.028E-5;0.013118062
1.03E-5;0.011099899
1.032E-5;0.010090817
1.034E-5;0.0080726538
1.036E-5;0.011099899
1.038E-5;0.011099899
1.04E-5;0.014127144
1.042E-5;0.014127144
1.044E-5;0.014127144
1.046E-5;0.013118062
1.048E-5;0.010090817
1.05E-5;0.011099899
1.052E-5;0.013118062
1.054E-5;0.012108981
1.056E-5;0.013118062
1.058E-5;0.014127144
1.06E-5;0.011099899
1.062E-5;0.0090817355
1.064E-5;0.0090817355
1.066E-5;0.010090817
1.068E-5;0.0090817355
1.07E-5;0.0080726538
1.072E-5;0.011099899
1.074E-5;0.010090817
1.076E-5;0.010090817
1.078E-5;0.013118062
1.08E-5;0.013118062
1.082E-5;0.013118062
1.084E-5;0.013118062
1.086E-5;0.010090817
1.088E-5;0.011099899
1.09E-5;0.011099899
1.092E-5;0.014127144
1.094E-5;0.014127144
1.096E-5;0.014127144
1.098E-5;0.012108981
1.1E-5;0.0090817355
1.102E-5;0.0060544903
1.104E-5;0.0080726538
1.106E-5;0.011099899
1.108E-5;0.010090817
1.11E-5;0.015136226
1.112E-5;0.010090817
1.114E-5;0.012108981
1.116E-5;0.0070635721
1.118E-5;0.0040363269
1.12E-5;0.0060544903
1.122E-5;0.0050454086
1.124E-5;0.0060544903
1.126E-5;0.0080726538
1.128E-5;0.0050454086
1.13E-5;0.0020181634
1.132E-5;0.0010090817
1.134E-5;0
1.136E-5;0.0010090817
1.138E-5;-0.0040363269
1.14E-5;-0.0060544903
1.142E-5;-0.010090817
1.144E-5;-0.011099899
1.146E-5;-0.016145308
1.148E-5;-0.018163471
1.15E-5;-0.018163471
1.152E-5;-0.020181634
1.154E-5;-0.024217961
1.156E-5;-0.028254288
1.158E-5;-0.032290615
1.16E-5;-0.041372351
1.162E-5;-0.044399596
1.164E-5;-0.047426841
1.166E-5;-0.051463168
1.168E-5;-0.055499495
1.17E-5;-0.05852674
1.172E-5;-0.066599394
1.174E-5;-0.074672048
1.176E-5;-0.072653884
1.178E-5;-0.080726538
1.18E-5;-0.084762865
1.182E-5;-0.086781028
1.184E-5;-0.091826437
1.186E-5;-0.097880927
1.188E-5;-0.10292634
1.19E-5;-0.10797174
1.192E-5;-0.11200807
1.194E-5;-0.11301715
1.196E-5;-0.11705348
1.198E-5;-0.11806256
1.2E-5;-0.12008073
1.202E-5;-0.11907164
1.204E-5;-0.12209889
1.206E-5;-0.12310797
1.208E-5;-0.12411705
1.21E-5;-0.12512613
1.212E-5;-0.12108981
1.214E-5;-0.11705348
1.216E-5;-0.11402623
1.218E-5;-0.10998991
1.22E-5;-0.10696266
1.222E-5;-0.10292634
1.224E-5;-0.096871845
1.226E-5;-0.086781028
1.228E-5;-0.080726538
1.23E-5;-0.071644802
1.232E-5;-0.062563067
1.234E-5;-0.054490413
1.236E-5;-0.045408678
1.238E-5;-0.03531786
1.24E-5;-0.02320888
1.242E-5;-0.011099899
1.244E-5;0.0030272452
1.246E-5;0.015136226
1.248E-5;0.028254288
1.25E-5;0.038345105
1.252E-5;0.05247225
1.254E-5;0.066599394
1.256E-5;0.079717456
1.258E-5;0.0938446
1.26E-5;0.10595358
1.262E-5;0.11806256
1.264E-5;0.13118062
1.266E-5;0.1382442
1.268E-5;0.15035318
1.27E-5;0.15842583
1.272E-5;0.17053481
1.274E-5;0.18365287
1.276E-5;0.19475277
1.278E-5;0.20484359
1.28E-5;0.21190716
1.282E-5;0.2209889
1.284E-5;0.22502522
1.286E-5;0.22906155
1.288E-5;0.23007063
1.29E-5;0.2371342
1.292E-5;0.23915237
1.294E-5;0.24117053
1.296E-5;0.24117053
1.298E-5;0.24117053
1.3E-5;0.2431887
1.302E-5;0.23915237
1.304E-5;0.23410696
1.306E-5;0.22805247
1.308E-5;0.22300706
1.31E-5;0.2209889
1.312E-5;0.21392533
1.314E-5;0.20787083
1.316E-5;0.20080726
1.318E-5;0.19172553
1.32E-5;0.18668012
1.322E-5;0.17759838
1.324E-5;0.16952573
1.326E-5;0.16145308
1.328E-5;0.1493441
1.33E-5;0.13925328
1.332E-5;0.13017154
1.334E-5;0.12108981
1.336E-5;0.10898083
1.338E-5;0.095862764
1.34E-5;0.085771946
1.342E-5;0.072653884
1.344E-5;0.063572149
1.346E-5;0.055499495
1.348E-5;0.044399596
1.35E-5;0.036326942
1.352E-5;0.024217961
1.354E-5;0.010090817
1.356E-5;0.0010090817
1.358E-5;-0.0080726538
1.36E-5;-0.017154389
1.362E-5;-0.028254288
1.364E-5;-0.038345105
1.366E-5;-0.048435923
1.368E-5;-0.054490413
1.37E-5;-0.063572149
1.372E-5;-0.071644802
1.374E-5;-0.08173562
1.376E-5;-0.085771946
1.378E-5;-0.091826437
1.38E-5;-0.10191725
1.382E-5;-0.10998991
1.384E-5;-0.11705348
1.386E-5;-0.12108981
1.388E-5;-0.12512613
1.39E-5;-0.1271443
1.392E-5;-0.13017154
1.394E-5;-0.13622603
1.396E-5;-0.1382442
1.398E-5;-0.1382442
1.4E-5;-0.1382442
1.402E-5;-0.13925328
1.404E-5;-0.14026236
1.406E-5;-0.1432896
1.408E-5;-0.14026236
1.41E-5;-0.1382442
1.412E-5;-0.1382442
1.414E-5;-0.13319879
1.416E-5;-0.13118062
1.418E-5;-0.1271443
1.42E-5;-0.12613522
1.422E-5;-0.12108981
1.424E-5;-0.12108981
1.426E-5;-0.11503532
1.428E-5;-0.11200807
1.43E-5;-0.10797174
1.432E-5;-0.099899091
1.434E-5;-0.094853682
1.436E-5;-0.088799192
1.438E-5;-0.079717456
1.44E-5;-0.078708374
1.442E-5;-0.073662966
1.444E-5;-0.067608475
1.446E-5;-0.065590312
1.448E-5;-0.060544903
1.45E-5;-0.053481331
1.452E-5;-0.047426841
1.454E-5;-0.038345105
1.456E-5;-0.03531786
1.458E-5;-0.031281533
1.46E-5;-0.025227043
1.462E-5;-0.025227043
1.464E-5;-0.019172553
1.466E-5;-0.015136226
1.468E-5;-0.012108981
1.47E-5;-0.010090817
1.472E-5;-0.0030272452
1.474E-5;-0.0030272452
1.476E-5;-0.0030272452
1.478E-5;0.0060544903
1.48E-5;0.0090817355
1.482E-5;0.011099899
1.484E-5;0.012108981
1.486E-5;0.017154389
1.488E-5;0.016145308
1.49E-5;0.020181634
1.492E-5;0.022199798
1.494E-5;0.022199798
1.496E-5;0.02320888
1.498E-5;0.02320888
1.5E-5;0.027245207
1.502E-5;0.026236125
1.504E-5;0.027245207
1.506E-5;0.02926337
1.508E-5;0.031281533
1.51E-5;0.033299697
1.512E-5;0.036326942
1.514E-5;0.033299697
1.516E-5;0.032290615
1.518E-5;0.034308779
1.52E-5;0.03531786
1.522E-5;0.036326942
1.524E-5;0.034308779
1.526E-5;0.031281533
1.528E-5;0.030272452
1.53E-5;0.032290615
1.532E-5;0.031281533
1.534E-5;0.033299697
1.536E-5;0.032290615
1.538E-5;0.034308779
1.54E-5;0.033299697
1.542E-5;0.030272452
1.544E-5;0.030272452
1.546E-5;0.02926337
1.548E-5;0.028254288
1.55E-5;0.025227043
1.552E-5;0.027245207
1.554E-5;0.027245207
1.556E-5;0.027245207
1.558E-5;0.027245207
1.56E-5;0.027245207
1.562E-5;0.02926337
1.564E-5;0.028254288
1.566E-5;0.024217961
1.568E-5;0.024217961
1.57E-5;0.024217961
1.572E-5;0.024217961
1.574E-5;0.024217961
1.576E-5;0.022199798
1.578E-5;0.02320888
1.58E-5;0.024217961
1.582E-5;0.020181634
1.584E-5;0.019172553
1.586E-5;0.019172553
1.588E-5;0.020181634
1.59E-5;0.028254288
1.592E-5;0.027245207
1.594E-5;0.025227043
1.596E-5;0.022199798
1.598E-5;0.022199798
1.6E-5;0.02320888
1.602E-5;0.025227043
1.604E-5;0.026236125
1.606E-5;0.025227043
1.608E-5;0.025227043
1.61E-5;0.02926337
1.612E-5;0.028254288
1.614E-5;0.028254288
1.616E-5;0.02926337
1.618E-5;0.025227043
1.62E-5;0.026236125
1.622E-5;0.030272452
1.624E-5;0.030272452
1.626E-5;0.030272452
1.628E-5;0.031281533
1.63E-5;0.032290615
1.632E-5;0.034308779
1.634E-5;0.036326942
1.636E-5;0.032290615
1.638E-5;0.03531786
1.64E-5;0.036326942
1.642E-5;0.03531786
1.644E-5;0.033299697
1.646E-5;0.034308779
1.648E-5;0.033299697
1.65E-5;0.031281533
1.652E-5;0.032290615
1.654E-5;0.03531786
1.656E-5;0.033299697
1.658E-5;0.033299697
1.66E-5;0.032290615
1.662E-5;0.031281533
1.664E-5;0.034308779
1.666E-5;0.036326942
1.668E-5;0.03531786
1.67E-5;0.039354187
1.672E-5;0.036326942
1.674E-5;0.03531786
1.676E-5;0.03531786
1.678E-5;0.03531786
1.68E-5;0.038345105
1.682E-5;0.041372351
1.684E-5;0.039354187
1.686E-5;0.038345105
1.688E-5;0.034308779
1.69E-5;0.036326942
1.692E-5;0.039354187
1.694E-5;0.03531786
1.696E-5;0.037336024
1.698E-5;0.03531786
1.7E-5;0.03531786
1.702E-5;0.038345105
1.704E-5;0.036326942
1.706E-5;0.038345105
1.708E-5;0.040363269
1.71E-5;0.03531786
1.712E-5;0.03531786
1.714E-5;0.03531786
1.716E-5;0.037336024
1.718E-5;0.03531786
1.72E-5;0.032290615
1.722E-5;0.031281533
1.724E-5;0.034308779
1.726E-5;0.030272452
1.728E-5;0.02926337
1.73E-5;0.030272452
1.732E-5;0.027245207
1.734E-5;0.024217961
1.736E-5;0.024217961
1.738E-5;0.019172553
1.74E-5;0.021190716
1.742E-5;0.020181634
1.744E-5;0.019172553
