ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-10 15:28:04 703m





Relative time Ch1
s V
0 0.043390514
2E-8 0.02926337
4E-8 -0.92330978
6E-8 -1.1039354
8E-8 0.0040363269
1E-7 1.2411705
1.2E-7 0.50655903
1.4E-7 -0.2209889
1.6E-7 -0.23511604
1.8E-7 0.66397577
2E-7 0.82038344
2.2E-7 0.24419778
2.4E-7 -0.14127144
2.6E-7 0.025227043
2.8E-7 0.41775983
3E-7 0.46821392
3.2E-7 0.29061554
3.4E-7 0.034308779
3.6E-7 -0.037336024
3.8E-7 0.23107971
4E-7 0.45913218
4.2E-7 0.25731584
4.4E-7 -0.10090817
4.6E-7 0.063572149
4.8E-7 0.15237134
5E-7 0.0070635721
5.2E-7 0.29061554
5.4E-7 -0.20080726
5.6E-7 -0.47124116
5.8E-7 -0.50050453
6E-7 -0.08173562
6.2E-7 0.12008073
6.4E-7 0.22805247
6.6E-7 0.33501513
6.8E-7 0.31987891
7E-7 0.37336024
7.2E-7 0.41876892
7.4E-7 0.24520686
7.6E-7 0.259334
7.8E-7 0.3975782
8E-7 0.45307769
8.2E-7 0.49545913
8.4E-7 0.46720484
8.6E-7 0.35519677
8.8E-7 0.3370333
9E-7 0.43895055
9.2E-7 0.48234106
9.4E-7 0.41069626
9.6E-7 0.36629667
9.8E-7 0.34914228
1E-6 0.36629667
1.02E-6 0.41170534
1.04E-6 0.40565085
1.06E-6 0.3531786
1.08E-6 0.32896064
1.1E-6 0.35418768
1.12E-6 0.36024218
1.14E-6 0.34813319
1.16E-6 0.33905146
1.18E-6 0.31685166
1.2E-6 0.3037336
1.22E-6 0.31079717
1.24E-6 0.31281533
1.26E-6 0.29767911
1.28E-6 0.2815338
1.3E-6 0.27951564
1.32E-6 0.26034308
1.34E-6 0.24520686
1.36E-6 0.25025227
1.38E-6 0.25025227
1.4E-6 0.23915237
1.42E-6 0.2320888
1.44E-6 0.21997982
1.46E-6 0.21392533
1.48E-6 0.21089808
1.5E-6 0.21594349
1.52E-6 0.22401614
1.54E-6 0.22704339
1.56E-6 0.21291624
1.58E-6 0.18970736
1.6E-6 0.17961655
1.62E-6 0.18062563
1.64E-6 0.17457114
1.66E-6 0.2431887
1.68E-6 0.27346115
1.7E-6 0.18264379
1.72E-6 0.12916246
1.74E-6 0.16347124
1.76E-6 0.20787083
1.78E-6 0.21089808
1.8E-6 0.18970736
1.82E-6 0.18567104
1.84E-6 0.19979818
1.86E-6 0.21089808
1.88E-6 0.20282543
1.9E-6 0.19374369
1.92E-6 0.18567104
1.94E-6 0.17759838
1.96E-6 0.17961655
1.98E-6 0.19273461
2E-6 0.19273461
2.02E-6 0.17759838
2.04E-6 0.17154389
2.06E-6 0.17961655
2.08E-6 0.18567104
2.1E-6 0.18264379
2.12E-6 0.17053481
2.14E-6 0.16649848
2.16E-6 0.17457114
2.18E-6 0.17961655
2.2E-6 0.17255297
2.22E-6 0.15741675
2.24E-6 0.15035318
2.26E-6 0.14732593
2.28E-6 0.1493441
2.3E-6 0.14631685
2.32E-6 0.14429869
2.34E-6 0.1382442
2.36E-6 0.13521695
2.38E-6 0.14026236
2.4E-6 0.14530777
2.42E-6 0.14833501
2.44E-6 0.14127144
2.46E-6 0.12916246
2.48E-6 0.1160444
2.5E-6 0.11200807
2.52E-6 0.11301715
2.54E-6 0.11402623
2.56E-6 0.11705348
2.58E-6 0.11907164
2.6E-6 0.11907164
2.62E-6 0.1160444
2.64E-6 0.11402623
2.66E-6 0.11200807
2.68E-6 0.11402623
2.7E-6 0.11301715
2.72E-6 0.11200807
2.74E-6 0.10898083
2.76E-6 0.10393542
2.78E-6 0.10292634
2.8E-6 0.097880927
2.82E-6 0.092835519
2.84E-6 0.092835519
2.86E-6 0.094853682
2.88E-6 0.099899091
2.9E-6 0.10998991
2.92E-6 0.11200807
2.94E-6 0.10898083
2.96E-6 0.11099899
2.98E-6 0.10797174
3E-6 0.10090817
3.02E-6 0.1049445
