ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-11 10:49:12 683m





Relative time;Ch1
s;V
0;0.97067747
2E-8;2.321537
4E-8;1.2982811
6E-8;-2.6895855
8E-8;-3.7411528
1E-7;-3.9595552
1.2E-7;-3.7573307
1.4E-7;-3.7249748
1.6E-7;-3.9191103
1.8E-7;-3.8786654
2E-7;-3.255814
2.2E-7;-0.76036402
2.4E-7;0.29120324
2.6E-7;0.62689587
2.8E-7;0.12942366
3E-7;0.22244692
3.2E-7;1.0111224
3.4E-7;1.9939333
3.6E-7;2.0060668
3.8E-7;1.6865521
4E-7;0.94236605
4.2E-7;0.34782609
4.4E-7;-0.052578363
4.6E-7;-0.38827099
4.8E-7;0.0080889789
5E-7;0.1536906
5.2E-7;-0.024266937
5.4E-7;-0.71183015
5.6E-7;-1.2821032
5.8E-7;-1.553084
6E-7;-1.8361982
6.2E-7;-2.1638019
6.4E-7;-2.4630941
6.6E-7;-2.4024267
6.8E-7;-2.503539
7E-7;-2.5682508
7.2E-7;-2.5722953
7.4E-7;-2.49545
7.6E-7;-2.5601618
7.8E-7;-2.49545
8E-7;-2.4550051
8.2E-7;-2.4630941
8.4E-7;-2.321537
8.6E-7;-2.1354904
8.8E-7;-1.8766431
9E-7;-1.6137513
9.2E-7;-1.2740142
9.4E-7;-1.0070779
9.6E-7;-0.74418606
9.8E-7;-0.42467139
1E-6;-0.14155713
1.02E-6;0.048533874
1.04E-6;0.25884733
1.06E-6;0.49342772
1.08E-6;0.68351872
1.1E-6;0.86147626
1.12E-6;1.0192113
1.14E-6;1.164813
1.16E-6;1.3063701
1.18E-6;1.3872599
1.2E-6;1.4236603
1.22E-6;1.4277048
1.24E-6;1.3993934
1.26E-6;1.3346815
1.28E-6;1.2659252
1.3E-6;1.2173913
1.32E-6;1.1445905
1.34E-6;1.0475228
1.36E-6;0.93832156
1.38E-6;0.84125381
1.4E-6;0.73609708
1.42E-6;0.62285138
1.44E-6;0.54196159
1.46E-6;0.48533874
1.48E-6;0.39231548
1.5E-6;0.29524773
1.52E-6;0.21840243
1.54E-6;0.18200203
1.56E-6;0.16582407
1.58E-6;0.13751264
1.6E-6;0.10515673
1.62E-6;0.11729019
1.64E-6;0.12537917
1.66E-6;0.12537917
1.68E-6;0.10920122
1.7E-6;0.11729019
1.72E-6;0.14155713
1.74E-6;0.16582407
1.76E-6;0.19817998
1.78E-6;0.27502528
1.8E-6;0.38827099
1.82E-6;0.48533874
1.84E-6;0.55409506
1.86E-6;0.6147624
1.88E-6;0.67138525
1.9E-6;0.73609708
1.92E-6;0.81294238
1.94E-6;0.89383217
1.96E-6;0.93832156
1.98E-6;0.97472196
2E-6;1.0030334
2.02E-6;1.0515673
2.04E-6;1.0960566
2.06E-6;1.1041456
2.08E-6;1.1001011
2.1E-6;1.0758342
2.12E-6;1.0798787
2.14E-6;1.1001011
2.16E-6;1.0879677
2.18E-6;1.0596562
2.2E-6;1.0151669
2.22E-6;0.98281094
2.24E-6;0.96663298
2.26E-6;0.95449951
2.28E-6;0.91405462
2.3E-6;0.86956524
2.32E-6;0.81294238
2.34E-6;0.77249749
2.36E-6;0.74418606
2.38E-6;0.71183015
2.4E-6;0.66734076
2.42E-6;0.63094036
2.44E-6;0.61071791
2.46E-6;0.59858444
2.48E-6;0.58240648
2.5E-6;0.57027302
2.52E-6;0.56218404
2.54E-6;0.52982812
2.56E-6;0.51365016
2.58E-6;0.50556118
2.6E-6;0.51769465
2.62E-6;0.54196159
2.64E-6;0.56218404
2.66E-6;0.55409506
2.68E-6;0.55813955
2.7E-6;0.58645097
2.72E-6;0.62285138
2.74E-6;0.6511628
2.76E-6;0.65520729
2.78E-6;0.64711832
2.8E-6;0.66329627
2.82E-6;0.73609708
2.84E-6;0.768453
2.86E-6;0.79271994
2.88E-6;0.77249749
2.9E-6;0.76036402
2.92E-6;0.75227504
2.94E-6;0.72396362
2.96E-6;0.69969668
2.98E-6;0.6916077
3E-6;0.67138525
3.02E-6;0.65520729
3.04E-6;0.64307383
3.06E-6;0.62285138
3.08E-6;0.60262893
3.1E-6;0.57836199
3.12E-6;0.55005057
3.14E-6;0.52578363
3.16E-6;0.52578363
3.18E-6;0.51365016
3.2E-6;0.48938323
3.22E-6;0.46511629
3.24E-6;0.44489384
3.26E-6;0.44489384
3.28E-6;0.44893833
3.3E-6;0.44489384
3.32E-6;0.44084935
3.34E-6;0.41658242
3.36E-6;0.37613752
3.38E-6;0.36804854
3.4E-6;0.37613752
3.42E-6;0.37613752
3.44E-6;0.38018201
3.46E-6;0.36400405
3.48E-6;0.3437816
3.5E-6;0.35187058
3.52E-6;0.36400405
3.54E-6;0.36400405
3.56E-6;0.35591507
3.58E-6;0.3437816
3.6E-6;0.33164814
3.62E-6;0.33973712
3.64E-6;0.35187058
3.66E-6;0.35995956
3.68E-6;0.35187058
3.7E-6;0.33973712
3.72E-6;0.32355916
3.74E-6;0.3437816
3.76E-6;0.33973712
3.78E-6;0.31547018
3.8E-6;0.29524773
3.82E-6;0.29120324
3.84E-6;0.28715875
3.86E-6;0.29524773
3.88E-6;0.29524773
3.9E-6;0.27502528
3.92E-6;0.28715875
3.94E-6;0.30333671
3.96E-6;0.29929222
3.98E-6;0.29120324
4E-6;0.26289182
4.02E-6;0.23458039
4.04E-6;0.23458039
4.06E-6;0.23458039
4.08E-6;0.2305359
4.1E-6;0.22649141
4.12E-6;0.20626896
4.14E-6;0.18200203
4.16E-6;0.17391305
4.18E-6;0.18200203
4.2E-6;0.16986856
4.22E-6;0.16986856
4.24E-6;0.18200203
4.26E-6;0.20222447
4.28E-6;0.19009101
4.3E-6;0.19009101
4.32E-6;0.19413549
4.34E-6;0.17795754
4.36E-6;0.16177958
4.38E-6;0.1536906
4.4E-6;0.15773509
4.42E-6;0.17795754
4.44E-6;0.18200203
4.46E-6;0.16177958
4.48E-6;0.13346815
4.5E-6;0.13346815
4.52E-6;0.14155713
4.54E-6;0.16582407
4.56E-6;0.17795754
4.58E-6;0.14964611
4.6E-6;0.14964611
4.62E-6;0.17391305
4.64E-6;0.16986856
4.66E-6;0.14155713
4.68E-6;0.12133468
4.7E-6;0.12537917
4.72E-6;0.11729019
4.74E-6;0.088978768
4.76E-6;0.080889789
4.78E-6;0.088978768
4.8E-6;0.12133468
4.82E-6;0.13346815
4.84E-6;0.12537917
4.86E-6;0.10111224
4.88E-6;0.080889789
4.9E-6;0.080889789
4.92E-6;0.080889789
4.94E-6;0.088978768
4.96E-6;0.084934279
4.98E-6;0.07280081
5E-6;0.060667342
5.02E-6;0.0768453
5.04E-6;0.088978768
5.06E-6;0.088978768
5.08E-6;0.080889789
5.1E-6;0.07280081
5.12E-6;0.060667342
5.14E-6;0.048533874
5.16E-6;0.044489384
5.18E-6;0.040444895
5.2E-6;0.032355916
5.22E-6;0.032355916
5.24E-6;0.020222447
5.26E-6;0.012133468
5.28E-6;0.012133468
5.3E-6;0.028311426
5.32E-6;0.032355916
5.34E-6;0.032355916
5.36E-6;0.020222447
5.38E-6;0.028311426
5.4E-6;0.032355916
5.42E-6;0.044489384
5.44E-6;0.040444895
5.46E-6;0.036400405
5.48E-6;0.024266937
5.5E-6;0.028311426
5.52E-6;0.028311426
5.54E-6;0.024266937
5.56E-6;0.0040444895
5.58E-6;0.016177958
5.6E-6;0.036400405
5.62E-6;0.040444895
5.64E-6;0.032355916
5.66E-6;0.012133468
5.68E-6;-0.0080889789
5.7E-6;-0.016177958
5.72E-6;0.0080889789
5.74E-6;0.012133468
5.76E-6;0.0040444895
5.78E-6;-0.0080889789
5.8E-6;-0.016177958
5.82E-6;-0.016177958
5.84E-6;-0.0080889789
5.86E-6;-0.0080889789
5.88E-6;-0.0080889789
5.9E-6;-0.0080889789
5.92E-6;-0.020222447
5.94E-6;-0.032355916
5.96E-6;-0.040444895
5.98E-6;-0.052578363
6E-6;-0.052578363
6.02E-6;-0.040444895
6.04E-6;-0.036400405
6.06E-6;-0.028311426
6.08E-6;-0.012133468
6.1E-6;0.0080889789
6.12E-6;0.020222447
6.14E-6;0.020222447
6.16E-6;0.0040444895
6.18E-6;-0.012133468
6.2E-6;-0.040444895
6.22E-6;-0.060667342
6.24E-6;-0.068756321
6.26E-6;-0.048533874
6.28E-6;-0.036400405
6.3E-6;-0.028311426
6.32E-6;-0.020222447
6.34E-6;-0.0080889789
6.36E-6;-0.012133468
6.38E-6;0
6.4E-6;0
6.42E-6;0.0080889789
6.44E-6;0.0080889789
6.46E-6;-0.012133468
6.48E-6;-0.028311426
6.5E-6;-0.024266937
6.52E-6;-0.032355916
6.54E-6;-0.024266937
6.56E-6;-0.024266937
6.58E-6;-0.012133468
6.6E-6;0.0040444895
6.62E-6;-0.016177958
6.64E-6;-0.032355916
6.66E-6;-0.036400405
6.68E-6;-0.024266937
6.7E-6;-0.020222447
6.72E-6;-0.052578363
6.74E-6;-0.060667342
6.76E-6;-0.044489384
6.78E-6;-0.0080889789
6.8E-6;0.0080889789
6.82E-6;0
6.84E-6;-0.020222447
6.86E-6;-0.032355916
6.88E-6;-0.036400405
6.9E-6;-0.044489384
6.92E-6;-0.040444895
6.94E-6;-0.032355916
6.96E-6;-0.024266937
6.98E-6;0
7E-6;-0.0080889789
7.02E-6;-0.028311426
7.04E-6;-0.040444895
7.06E-6;-0.044489384
7.08E-6;-0.048533874
7.1E-6;-0.040444895
7.12E-6;-0.048533874
7.14E-6;-0.052578363
7.16E-6;-0.040444895
7.18E-6;-0.048533874
7.2E-6;-0.068756321
7.22E-6;-0.068756321
7.24E-6;-0.068756321
7.26E-6;-0.064711832
7.28E-6;-0.056622853
7.3E-6;-0.028311426
7.32E-6;-0.036400405
7.34E-6;-0.056622853
7.36E-6;-0.080889789
7.38E-6;-0.088978768
7.4E-6;-0.064711832
7.42E-6;-0.052578363
7.44E-6;-0.044489384
7.46E-6;-0.048533874
7.48E-6;-0.052578363
7.5E-6;-0.07280081
7.52E-6;-0.064711832
7.54E-6;-0.040444895
7.56E-6;-0.032355916
7.58E-6;-0.036400405
7.6E-6;-0.044489384
7.62E-6;-0.056622853
7.64E-6;-0.052578363
7.66E-6;-0.040444895
7.68E-6;-0.024266937
7.7E-6;-0.040444895
7.72E-6;-0.036400405
7.74E-6;-0.040444895
7.76E-6;-0.028311426
7.78E-6;-0.048533874
