ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-11 11:27:15 537m





Relative time;Ch1
s;V
0;1.7997978
2E-8;2.8877655
4E-8;0.89787666
6E-8;0.82507585
8E-8;-0.80080891
1E-7;0.55813955
1.2E-7;-0.0080889789
1.4E-7;-0.82507585
1.6E-7;0.16582407
1.8E-7;-0.35187058
2E-7;-0.38018201
2.2E-7;-0.10920122
2.4E-7;0.11324571
2.6E-7;-0.093023258
2.8E-7;-0.064711832
3E-7;0.22649141
3.2E-7;0.10920122
3.4E-7;-0.020222447
3.6E-7;0.12537917
3.8E-7;0.084934279
4E-7;-0.060667342
4.2E-7;0.028311426
4.4E-7;0.07280081
4.6E-7;0
4.8E-7;-0.036400405
5E-7;-0.036400405
5.2E-7;-0.040444895
5.4E-7;-0.07280081
5.6E-7;-0.012133468
5.8E-7;0.016177958
6E-7;-0.036400405
6.2E-7;-0.012133468
6.4E-7;-0.032355916
6.6E-7;-0.097067747
6.8E-7;-0.048533874
7E-7;0.10111224
7.2E-7;0.0040444895
7.4E-7;0.012133468
7.6E-7;0.068756321
7.8E-7;0.12133468
8E-7;0.056622853
8.2E-7;0.10515673
8.4E-7;0.15773509
8.6E-7;0.11324571
8.8E-7;0.12133468
9E-7;0.16177958
9.2E-7;0.16582407
9.4E-7;0.16582407
9.6E-7;0.21435794
9.8E-7;0.2305359
1E-6;0.22244692
1.02E-6;0.25480284
1.04E-6;0.25884733
1.06E-6;0.24671386
1.08E-6;0.24671386
1.1E-6;0.25075835
1.12E-6;0.25480284
1.14E-6;0.25075835
1.16E-6;0.25480284
1.18E-6;0.24266937
1.2E-6;0.25075835
1.22E-6;0.25480284
1.24E-6;0.25480284
1.26E-6;0.25075835
1.28E-6;0.23862488
1.3E-6;0.22649141
1.32E-6;0.22649141
1.34E-6;0.22649141
1.36E-6;0.21435794
1.38E-6;0.21435794
1.4E-6;0.20626896
1.42E-6;0.19817998
1.44E-6;0.19817998
1.46E-6;0.19413549
1.48E-6;0.19009101
1.5E-6;0.18200203
1.52E-6;0.17795754
1.54E-6;0.17391305
1.56E-6;0.16986856
1.58E-6;0.16986856
1.6E-6;0.16986856
1.62E-6;0.16177958
1.64E-6;0.16582407
1.66E-6;0.16986856
1.68E-6;0.16986856
1.7E-6;0.16986856
1.72E-6;0.16986856
1.74E-6;0.16582407
1.76E-6;0.17391305
1.78E-6;0.16582407
1.8E-6;0.16582407
1.82E-6;0.16986856
1.84E-6;0.17391305
1.86E-6;0.17795754
1.88E-6;0.17795754
1.9E-6;0.17795754
1.92E-6;0.18200203
1.94E-6;0.17795754
