ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-16 13:32:04 134m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.86147626
1 2E-8 2.2649141
2 4E-8 0.47724976
3 6E-8 -3.6198181
4 8E-8 -3.9271993
5 1E-7 -4.0121336
6 1.2E-7 -2.6450961
7 1.4E-7 -0.82507585
8 1.6E-7 -1.2618807
9 1.8E-7 -1.4560162
10 2E-7 -2.3619819
11 2.2E-7 -2.4024267
12 2.4E-7 -2.305359
13 2.6E-7 -1.7391305
14 2.8E-7 -1.2578362
15 3E-7 -0.49342772
16 3.2E-7 0.26289182
17 3.4E-7 0.98685543
18 3.6E-7 1.1890799
19 3.8E-7 0.75631953
20 4E-7 0.50151669
21 4.2E-7 0.25075835
22 4.4E-7 0.31951467
23 4.6E-7 0.093023258
24 4.8E-7 0.044489384
25 5E-7 -0.13346815
26 5.2E-7 -0.24266937
27 5.4E-7 -0.41253793
28 5.6E-7 -0.59858444
29 5.8E-7 -0.76036402
30 6E-7 -0.94236605
31 6.2E-7 -1.0798787
32 6.4E-7 -1.2295248
33 6.6E-7 -1.0920122
34 6.8E-7 -1.354904
35 7E-7 -1.2861477
36 7.2E-7 -1.4236603
37 7.4E-7 -1.2618807
38 7.6E-7 -1.3670374
39 7.8E-7 -1.3104146
40 8E-7 -1.2740142
41 8.2E-7 -1.3508595
42 8.4E-7 -1.2376138
43 8.6E-7 -1.140546
44 8.8E-7 -1.0151669
45 9E-7 -0.96258849
46 9.2E-7 -0.76440851
47 9.4E-7 -0.59858444
48 9.6E-7 -0.4206269
49 9.8E-7 -0.2669363
50 1E-6 -0.14155713
51 1.02E-6 -0.060667342
52 1.04E-6 0.024266937
53 1.06E-6 0.11324571
54 1.08E-6 0.21031345
55 1.1E-6 0.31547018
56 1.12E-6 0.39231548
57 1.14E-6 0.47320527
58 1.16E-6 0.54196159
59 1.18E-6 0.58645097
60 1.2E-6 0.59049546
61 1.22E-6 0.60667342
62 1.24E-6 0.58240648
63 1.26E-6 0.55813955
64 1.28E-6 0.55409506
65 1.3E-6 0.51769465
66 1.32E-6 0.46511629
67 1.34E-6 0.43680486
68 1.36E-6 0.41253793
69 1.38E-6 0.35187058
70 1.4E-6 0.28715875
71 1.42E-6 0.21435794
72 1.44E-6 0.1536906
73 1.46E-6 0.10515673
74 1.48E-6 0.093023258
75 1.5E-6 0.064711832
76 1.52E-6 0.028311426
77 1.54E-6 0.016177958
78 1.56E-6 -0.020222447
79 1.58E-6 -0.040444895
80 1.6E-6 -0.044489384
81 1.62E-6 -0.044489384
82 1.64E-6 -0.060667342
83 1.66E-6 -0.060667342
84 1.68E-6 -0.064711832
85 1.7E-6 -0.044489384
86 1.72E-6 -0.016177958
87 1.74E-6 -0.0080889789
88 1.76E-6 0.024266937
89 1.78E-6 0.052578363
90 1.8E-6 0.093023258
91 1.82E-6 0.12537917
92 1.84E-6 0.14560162
93 1.86E-6 0.17391305
94 1.88E-6 0.21031345
95 1.9E-6 0.25884733
96 1.92E-6 0.27906977
97 1.94E-6 0.30333671
98 1.96E-6 0.32355916
99 1.98E-6 0.35187058
100 2E-6 0.38018201
