ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-16 14:09:13 828m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.8816987
1 2E-8 2.0748231
2 4E-8 0.59453995
3 6E-8 -2.867543
4 8E-8 -3.7573307
5 1E-7 -3.7775532
6 1.2E-7 -2.2689586
7 1.4E-7 -1.0475228
8 1.6E-7 -1.2740142
9 1.8E-7 -1.3993934
10 2E-7 -1.7027301
11 2.2E-7 -1.354904
12 2.4E-7 -0.958544
13 2.6E-7 -0.66734076
14 2.8E-7 -0.36804854
15 3E-7 -0.044489384
16 3.2E-7 0.46916078
17 3.4E-7 0.7280081
18 3.6E-7 0.90596564
19 3.8E-7 0.62689587
20 4E-7 0.42871588
21 4.2E-7 0.22649141
22 4.4E-7 0.2305359
23 4.6E-7 0.14560162
24 4.8E-7 0.097067747
25 5E-7 0.048533874
26 5.2E-7 -0.020222447
27 5.4E-7 -0.097067747
28 5.6E-7 -0.21435794
29 5.8E-7 -0.30333671
30 6E-7 -0.40444895
31 6.2E-7 -0.4610718
32 6.4E-7 -0.55005057
33 6.6E-7 -0.51365016
34 6.8E-7 -0.51769465
35 7E-7 -0.62285138
36 7.2E-7 -0.6916077
37 7.4E-7 -0.50960567
38 7.6E-7 -0.61880689
39 7.8E-7 -0.57836199
40 8E-7 -0.56622853
41 8.2E-7 -0.59453995
42 8.4E-7 -0.59049546
43 8.6E-7 -0.49342772
44 8.8E-7 -0.41658242
45 9E-7 -0.38827099
46 9.2E-7 -0.29524773
47 9.4E-7 -0.25075835
48 9.6E-7 -0.19817998
49 9.8E-7 -0.10920122
50 1E-6 -0.012133468
51 1.02E-6 0.040444895
52 1.04E-6 0.080889789
53 1.06E-6 0.13346815
54 1.08E-6 0.16986856
55 1.1E-6 0.22244692
56 1.12E-6 0.2669363
57 1.14E-6 0.28715875
58 1.16E-6 0.3073812
59 1.18E-6 0.32355916
60 1.2E-6 0.34782609
61 1.22E-6 0.35995956
62 1.24E-6 0.36400405
63 1.26E-6 0.35995956
64 1.28E-6 0.33569263
65 1.3E-6 0.3073812
66 1.32E-6 0.28311426
67 1.34E-6 0.27502528
68 1.36E-6 0.2669363
69 1.38E-6 0.2305359
70 1.4E-6 0.20626896
71 1.42E-6 0.16177958
72 1.44E-6 0.14155713
73 1.46E-6 0.12133468
74 1.48E-6 0.10111224
75 1.5E-6 0.080889789
76 1.52E-6 0.07280081
77 1.54E-6 0.068756321
78 1.56E-6 0.056622853
79 1.58E-6 0.056622853
80 1.6E-6 0.048533874
81 1.62E-6 0.052578363
82 1.64E-6 0.048533874
83 1.66E-6 0.040444895
84 1.68E-6 0.036400405
85 1.7E-6 0.044489384
86 1.72E-6 0.064711832
87 1.74E-6 0.068756321
88 1.76E-6 0.068756321
89 1.78E-6 0.084934279
90 1.8E-6 0.10920122
91 1.82E-6 0.12942366
92 1.84E-6 0.1536906
93 1.86E-6 0.16177958
94 1.88E-6 0.17391305
95 1.9E-6 0.19009101
96 1.92E-6 0.20222447
97 1.94E-6 0.2305359
98 1.96E-6 0.25480284
99 1.98E-6 0.25075835
100 2E-6 0.25075835
101 2.02E-6 0.25884733
