ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-16 13:25:40 281m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.3872599
1 2E-8 2.2285137
2 4E-8 -0.3073812
3 6E-8 -3.8099091
4 8E-8 -4.0121336
5 1E-7 -3.7330638
6 1.2E-7 -1.4398383
7 1.4E-7 -0.44893833
8 1.6E-7 -1.2254803
9 1.8E-7 -1.5247725
10 2E-7 -2.49545
11 2.2E-7 -2.2487361
12 2.4E-7 -2.1961578
13 2.6E-7 -1.4762387
14 2.8E-7 -1.0515673
15 3E-7 -0.13751264
16 3.2E-7 0.54196159
17 3.4E-7 1.2821032
18 3.6E-7 1.1931244
19 3.8E-7 0.78058647
20 4E-7 0.48533874
21 4.2E-7 0.34782609
22 4.4E-7 0.35995956
23 4.6E-7 0.15773509
24 4.8E-7 0.11729019
25 5E-7 -0.084934279
26 5.2E-7 -0.18200203
27 5.4E-7 -0.39635997
28 5.6E-7 -0.54196159
29 5.8E-7 -0.71991913
30 6E-7 -0.87360973
31 6.2E-7 -1.0313448
32 6.4E-7 -1.1729019
33 6.6E-7 -0.94236605
34 6.8E-7 -1.3063701
35 7E-7 -1.1809909
36 7.2E-7 -1.2618807
37 7.4E-7 -1.1688575
38 7.6E-7 -1.2012134
39 7.8E-7 -1.1526795
40 8E-7 -1.140546
41 8.2E-7 -1.1931244
42 8.4E-7 -1.0475228
43 8.6E-7 -0.95449951
44 8.8E-7 -0.83720932
45 9E-7 -0.71991913
46 9.2E-7 -0.57836199
47 9.4E-7 -0.45702731
48 9.6E-7 -0.31547018
49 9.8E-7 -0.14560162
50 1E-6 -0.032355916
51 1.02E-6 0.068756321
52 1.04E-6 0.15773509
53 1.06E-6 0.26289182
54 1.08E-6 0.37209303
55 1.1E-6 0.45298282
56 1.12E-6 0.51769465
57 1.14E-6 0.56622853
58 1.16E-6 0.60262893
59 1.18E-6 0.63902934
60 1.2E-6 0.65520729
61 1.22E-6 0.6511628
62 1.24E-6 0.63902934
63 1.26E-6 0.61880689
64 1.28E-6 0.59858444
65 1.3E-6 0.55813955
66 1.32E-6 0.51365016
67 1.34E-6 0.47320527
68 1.36E-6 0.43680486
69 1.38E-6 0.38827099
70 1.4E-6 0.32760365
71 1.42E-6 0.27906977
72 1.44E-6 0.25480284
73 1.46E-6 0.19413549
74 1.48E-6 0.14964611
75 1.5E-6 0.10515673
76 1.52E-6 0.07280081
77 1.54E-6 0.052578363
78 1.56E-6 0.044489384
79 1.58E-6 0.032355916
80 1.6E-6 0.016177958
81 1.62E-6 -0.0080889789
82 1.64E-6 -0.012133468
83 1.66E-6 -0.012133468
84 1.68E-6 0.012133468
85 1.7E-6 0.028311426
86 1.72E-6 0.032355916
87 1.74E-6 0.048533874
88 1.76E-6 0.080889789
89 1.78E-6 0.12133468
90 1.8E-6 0.16177958
91 1.82E-6 0.19009101
92 1.84E-6 0.22244692
93 1.86E-6 0.25884733
94 1.88E-6 0.29524773
95 1.9E-6 0.32760365
96 1.92E-6 0.35591507
97 1.94E-6 0.3842265
98 1.96E-6 0.40444895
99 1.98E-6 0.42871588
100 2E-6 0.4610718
