ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-16 13:16:04 276m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.053919121
1 2E-8 -0.42136795
2 4E-8 -1.6754868
3 6E-8 -2.2905642
4 8E-8 -1.4558163
5 1E-7 0.68696955
6 1.2E-7 2.3904144
7 1.4E-7 2.3404893
8 1.6E-7 0.47928108
9 1.8E-7 -0.4872691
10 2E-7 -0.13779331
11 2.2E-7 0.21168248
12 2.4E-7 0.1337993
13 2.6E-7 -0.1318023
14 2.8E-7 -0.17373939
15 3E-7 -0.12181727
16 3.2E-7 -0.07988018
17 3.4E-7 0.055916126
18 3.6E-7 0.099850225
19 3.8E-7 0.071892162
20 4E-7 0.007988018
21 4.2E-7 -0.05791313
22 4.4E-7 -0.091862207
23 4.6E-7 -0.03994009
24 4.8E-7 0.047928108
25 5E-7 0.067898153
26 5.2E-7 0.003994009
27 5.4E-7 -0.073889166
28 5.6E-7 -0.085871193
29 5.8E-7 -0.01797304
30 6E-7 0.041937094
31 6.2E-7 0.051922117
32 6.4E-7 -0.003994009
33 6.6E-7 -0.043934099
34 6.8E-7 -0.065901148
35 7E-7 -0.059910135
36 7.2E-7 -0.07988018
37 7.4E-7 0.035946081
38 7.6E-7 0.12980529
39 7.8E-7 -0.085871193
40 8E-7 -0.1337993
41 8.2E-7 0.14578133
42 8.4E-7 -0.087868198
43 8.6E-7 -0.049925112
44 8.8E-7 0.037943085
45 9E-7 0.031952072
46 9.2E-7 -0.003994009
47 9.4E-7 0.047928108
48 9.6E-7 0.031952072
49 9.8E-7 -0.029955067
50 1E-6 0.015976036
51 1.02E-6 0.021967049
52 1.04E-6 0.015976036
53 1.06E-6 0.0099850225
54 1.08E-6 0.023964054
55 1.1E-6 0.011982027
56 1.12E-6 0.007988018
57 1.14E-6 0.01797304
58 1.16E-6 0.011982027
59 1.18E-6 0.007988018
60 1.2E-6 0.007988018
61 1.22E-6 0.0099850225
62 1.24E-6 0.0099850225
63 1.26E-6 0.0099850225
64 1.28E-6 0.007988018
65 1.3E-6 0.013979031
66 1.32E-6 0.0099850225
67 1.34E-6 0.007988018
68 1.36E-6 0.0099850225
69 1.38E-6 0.007988018
70 1.4E-6 0.01797304
71 1.42E-6 0.019970045
72 1.44E-6 0.019970045
73 1.46E-6 0.011982027
74 1.48E-6 0.013979031
75 1.5E-6 0.0099850225
76 1.52E-6 0.0099850225
77 1.54E-6 0.01797304
78 1.56E-6 0.01797304
79 1.58E-6 0.015976036
80 1.6E-6 0.0099850225
81 1.62E-6 0.0059910135
82 1.64E-6 0.011982027
83 1.66E-6 0.01797304
84 1.68E-6 0.021967049
85 1.7E-6 0.01797304
86 1.72E-6 0.01797304
87 1.74E-6 0.0099850225
88 1.76E-6 0.0099850225
89 1.78E-6 0.013979031
90 1.8E-6 0.015976036
91 1.82E-6 0.013979031
92 1.84E-6 0.011982027
93 1.86E-6 0.007988018
94 1.88E-6 0.0059910135
95 1.9E-6 0.003994009
96 1.92E-6 0.0059910135
97 1.94E-6 0.007988018
98 1.96E-6 0.01797304
99 1.98E-6 0.01797304
100 2E-6 0.011982027
