ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-16 14:27:42 518m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.53387261
1 2E-8 2.2366027
2 4E-8 1.362993
3 6E-8 -2.5925177
4 8E-8 -3.7007079
5 1E-7 -4.0040446
6 1.2E-7 -2.7623863
7 1.4E-7 -0.47320527
8 1.6E-7 -0.73205259
9 1.8E-7 -1.1607685
10 2E-7 -1.9615774
11 2.2E-7 -2.5965622
12 2.4E-7 -2.4266937
13 2.6E-7 -2.0222447
14 2.8E-7 -1.726997
15 3E-7 -1.3710819
16 3.2E-7 -0.26289182
17 3.4E-7 0.95449951
18 3.6E-7 1.6097068
19 3.8E-7 1.1850354
20 4E-7 0.91405462
21 4.2E-7 0.42467139
22 4.4E-7 0.48533874
23 4.6E-7 0.22649141
24 4.8E-7 0.17795754
25 5E-7 -0.052578363
26 5.2E-7 -0.22649141
27 5.4E-7 -0.46916078
28 5.6E-7 -0.77249749
29 5.8E-7 -1.0111224
30 6E-7 -1.3265925
31 6.2E-7 -1.5409505
32 6.4E-7 -1.7593529
33 6.6E-7 -1.7755309
34 6.8E-7 -1.8402427
35 7E-7 -1.9211325
36 7.2E-7 -2.0910011
37 7.4E-7 -1.8887766
38 7.6E-7 -1.925177
39 7.8E-7 -1.9009101
40 8E-7 -1.8685541
41 8.2E-7 -1.8766431
42 8.4E-7 -1.8159758
43 8.6E-7 -1.6461072
44 8.8E-7 -1.4317493
45 9E-7 -1.2618807
46 9.2E-7 -1.0151669
47 9.4E-7 -0.81294238
48 9.6E-7 -0.59453995
49 9.8E-7 -0.35187058
50 1E-6 -0.12537917
51 1.02E-6 0.032355916
52 1.04E-6 0.15773509
53 1.06E-6 0.32355916
54 1.08E-6 0.48129425
55 1.1E-6 0.64307383
56 1.12E-6 0.78867545
57 1.14E-6 0.90192115
58 1.16E-6 1.0030334
59 1.18E-6 1.0596562
60 1.2E-6 1.0798787
61 1.22E-6 1.0798787
62 1.24E-6 1.0556118
63 1.26E-6 1.0394338
64 1.28E-6 1.0151669
65 1.3E-6 0.96258849
66 1.32E-6 0.90192115
67 1.34E-6 0.8452983
68 1.36E-6 0.80080891
69 1.38E-6 0.73609708
70 1.4E-6 0.65925178
71 1.42E-6 0.5743175
72 1.44E-6 0.49342772
73 1.46E-6 0.40040446
74 1.48E-6 0.32760365
75 1.5E-6 0.29120324
76 1.52E-6 0.25075835
77 1.54E-6 0.21840243
78 1.56E-6 0.19009101
79 1.58E-6 0.18200203
80 1.6E-6 0.16986856
81 1.62E-6 0.15773509
82 1.64E-6 0.14560162
83 1.66E-6 0.14964611
84 1.68E-6 0.17391305
85 1.7E-6 0.16986856
86 1.72E-6 0.16986856
87 1.74E-6 0.21435794
88 1.76E-6 0.25884733
89 1.78E-6 0.29929222
90 1.8E-6 0.34782609
91 1.82E-6 0.38827099
92 1.84E-6 0.45298282
93 1.86E-6 0.50556118
94 1.88E-6 0.55005057
95 1.9E-6 0.60262893
96 1.92E-6 0.64307383
97 1.94E-6 0.68351872
98 1.96E-6 0.71183015
99 1.98E-6 0.76036402
100 2E-6 0.82912034
101 2.02E-6 0.87360973
