ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 14:11:11 101m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.95257114
1 2E-8 1.7993011
2 4E-8 2.236645
3 6E-8 2.8137793
4 8E-8 -1.7473789
5 1E-7 -2.234648
6 1.2E-7 -3.5986021
7 1.4E-7 0.063904144
8 1.6E-7 -2.4223665
9 1.8E-7 0.51722416
10 2E-7 -1.4937594
11 2.2E-7 0.031952072
12 2.4E-7 -0.65901148
13 2.6E-7 0.1777334
14 2.8E-7 0.011982027
15 3E-7 0.065901148
16 3.2E-7 0.091862207
17 3.4E-7 -0.11183225
18 3.6E-7 0.12181727
19 3.8E-7 0.027958063
20 4E-7 0.43934099
21 4.2E-7 0.16175736
22 4.4E-7 0.16974538
23 4.6E-7 0.041937094
24 4.8E-7 -0.003994009
25 5E-7 0.0099850225
26 5.2E-7 -0.089865202
27 5.4E-7 0.16175736
28 5.6E-7 -0.019970045
29 5.8E-7 0.01797304
30 6E-7 -0.11382926
31 6.2E-7 -0.095856216
32 6.4E-7 -0.10783824
33 6.6E-7 -0.17174239
34 6.8E-7 -0.14777833
35 7E-7 -0.22765851
36 7.2E-7 -0.18572142
37 7.4E-7 -0.19970045
38 7.6E-7 -0.21567649
39 7.8E-7 -0.18572142
40 8E-7 -0.22965552
41 8.2E-7 -0.18172741
42 8.4E-7 -0.22566151
43 8.6E-7 -0.18771842
44 8.8E-7 -0.20768847
45 9E-7 -0.18372441
46 9.2E-7 -0.1757364
47 9.4E-7 -0.14578133
48 9.6E-7 -0.12381428
49 9.8E-7 -0.099850225
50 1E-6 -0.083874189
51 1.02E-6 -0.061907139
52 1.04E-6 -0.031952072
53 1.06E-6 -0.011982027
54 1.08E-6 0.007988018
55 1.1E-6 0.019970045
56 1.12E-6 0.047928108
57 1.14E-6 0.05791313
58 1.16E-6 0.067898153
59 1.18E-6 0.087868198
60 1.2E-6 0.093859211
61 1.22E-6 0.10783824
62 1.24E-6 0.10983525
63 1.26E-6 0.11582626
64 1.28E-6 0.11782327
65 1.3E-6 0.11382926
66 1.32E-6 0.10983525
67 1.34E-6 0.099850225
68 1.36E-6 0.093859211
69 1.38E-6 0.087868198
70 1.4E-6 0.07988018
71 1.42E-6 0.077883175
72 1.44E-6 0.059910135
73 1.46E-6 0.055916126
74 1.48E-6 0.061907139
75 1.5E-6 0.065901148
76 1.52E-6 0.049925112
77 1.54E-6 0.043934099
78 1.56E-6 0.023964054
79 1.58E-6 0.029955067
80 1.6E-6 0.027958063
81 1.62E-6 0.021967049
82 1.64E-6 0.019970045
83 1.66E-6 0.011982027
84 1.68E-6 0.021967049
85 1.7E-6 0.0099850225
86 1.72E-6 0.023964054
87 1.74E-6 0.011982027
88 1.76E-6 0.021967049
89 1.78E-6 0.01797304
90 1.8E-6 0.025961058
91 1.82E-6 0.027958063
92 1.84E-6 0.029955067
93 1.86E-6 0.037943085
94 1.88E-6 0.043934099
95 1.9E-6 0.053919121
96 1.92E-6 0.053919121
97 1.94E-6 0.059910135
98 1.96E-6 0.069895157
99 1.98E-6 0.069895157
100 2E-6 0.075886171
101 2.02E-6 0.085871193
