ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 13:58:17 134m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 2.1847229
1 2E-8 2.1367948
2 4E-8 2.9555667
3 6E-8 -1.0144783
4 8E-8 -2.1268098
5 1E-7 -3.570644
6 1.2E-7 -1.0783824
7 1.4E-7 -2.6879681
8 1.6E-7 -0.35946081
9 1.8E-7 -1.9810285
10 2E-7 -0.50723914
11 2.2E-7 -0.50124813
12 2.4E-7 -0.033949076
13 2.6E-7 0.21168248
14 2.8E-7 -0.025961058
15 3E-7 0.2236645
16 3.2E-7 -0.1797304
17 3.4E-7 0.14378432
18 3.6E-7 -0.003994009
19 3.8E-7 0.46330504
20 4E-7 0.31952072
21 4.2E-7 0.15576635
22 4.4E-7 0.14578133
23 4.6E-7 -0.10184723
24 4.8E-7 0.093859211
25 5E-7 -0.17174239
26 5.2E-7 0.22765851
27 5.4E-7 -0.013979031
28 5.6E-7 0.013979031
29 5.8E-7 -0.11782327
30 6E-7 -0.1337993
31 6.2E-7 -0.10983525
32 6.4E-7 -0.21367948
33 6.6E-7 -0.17174239
34 6.8E-7 -0.2656016
35 7E-7 -0.23364953
36 7.2E-7 -0.21367948
37 7.4E-7 -0.27159261
38 7.6E-7 -0.21567649
39 7.8E-7 -0.28357464
40 8E-7 -0.21168248
41 8.2E-7 -0.26360459
42 8.4E-7 -0.22765851
43 8.6E-7 -0.23564653
44 8.8E-7 -0.2236645
45 9E-7 -0.20369446
46 9.2E-7 -0.18372441
47 9.4E-7 -0.14777833
48 9.6E-7 -0.12381428
49 9.8E-7 -0.095856216
50 1E-6 -0.067898153
51 1.02E-6 -0.031952072
52 1.04E-6 -0.0099850225
53 1.06E-6 0.0099850225
54 1.08E-6 0.023964054
55 1.1E-6 0.051922117
56 1.12E-6 0.067898153
57 1.14E-6 0.089865202
58 1.16E-6 0.10184723
59 1.18E-6 0.11183225
60 1.2E-6 0.12581128
61 1.22E-6 0.13579631
62 1.24E-6 0.1337993
63 1.26E-6 0.13579631
64 1.28E-6 0.12780829
65 1.3E-6 0.12581128
66 1.32E-6 0.12381428
67 1.34E-6 0.12181727
68 1.36E-6 0.10983525
69 1.38E-6 0.10384423
70 1.4E-6 0.09785322
71 1.42E-6 0.075886171
72 1.44E-6 0.065901148
73 1.46E-6 0.059910135
74 1.48E-6 0.075886171
75 1.5E-6 0.067898153
76 1.52E-6 0.027958063
77 1.54E-6 0.037943085
78 1.56E-6 0.019970045
79 1.58E-6 0.033949076
80 1.6E-6 0.013979031
81 1.62E-6 0.023964054
82 1.64E-6 0.019970045
83 1.66E-6 0.01797304
84 1.68E-6 0.011982027
85 1.7E-6 0.015976036
86 1.72E-6 0.01797304
87 1.74E-6 0.011982027
88 1.76E-6 0.01797304
89 1.78E-6 0.019970045
90 1.8E-6 0.033949076
91 1.82E-6 0.031952072
92 1.84E-6 0.043934099
93 1.86E-6 0.049925112
94 1.88E-6 0.05791313
95 1.9E-6 0.061907139
96 1.92E-6 0.067898153
97 1.94E-6 0.07988018
98 1.96E-6 0.077883175
99 1.98E-6 0.091862207
100 2E-6 0.093859211
