ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 15:01:06 600m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.6784631
1 2E-8 0.59858444
2 4E-8 2.4347827
3 6E-8 0.93427707
4 8E-8 -3.3852377
5 1E-7 -3.9110213
6 1.2E-7 -1.8604652
7 1.4E-7 -3.5146613
8 1.6E-7 -1.9494439
9 1.8E-7 -3.5712842
10 2E-7 0.64711832
11 2.2E-7 -2.1112235
12 2.4E-7 1.0839232
13 2.6E-7 -0.67542974
14 2.8E-7 0.77654198
15 3E-7 -0.43276037
16 3.2E-7 0.1536906
17 3.4E-7 0.0768453
18 3.6E-7 0.64711832
19 3.8E-7 1.3225481
20 4E-7 0.052578363
21 4.2E-7 0.71587464
22 4.4E-7 -0.32760365
23 4.6E-7 0.55409506
24 4.8E-7 -0.50556118
25 5E-7 0.15773509
26 5.2E-7 -0.056622853
27 5.4E-7 0.028311426
28 5.6E-7 -0.20626896
29 5.8E-7 -0.33973712
30 6E-7 -0.31547018
31 6.2E-7 -0.44084935
32 6.4E-7 -0.5379171
33 6.6E-7 -0.58240648
34 6.8E-7 -0.72396362
35 7E-7 -0.58240648
36 7.2E-7 -0.69565219
37 7.4E-7 -0.64711832
38 7.6E-7 -0.63094036
39 7.8E-7 -0.66734076
40 8E-7 -0.63094036
41 8.2E-7 -0.65925178
42 8.4E-7 -0.59049546
43 8.6E-7 -0.63094036
44 8.8E-7 -0.51769465
45 9E-7 -0.5379171
46 9.2E-7 -0.42871588
47 9.4E-7 -0.40040446
48 9.6E-7 -0.27098079
49 9.8E-7 -0.21435794
50 1E-6 -0.12942366
51 1.02E-6 -0.060667342
52 1.04E-6 0
53 1.06E-6 0.060667342
54 1.08E-6 0.088978768
55 1.1E-6 0.16986856
56 1.12E-6 0.19413549
57 1.14E-6 0.25480284
58 1.16E-6 0.27906977
59 1.18E-6 0.31951467
60 1.2E-6 0.35187058
61 1.22E-6 0.35591507
62 1.24E-6 0.37209303
63 1.26E-6 0.34782609
64 1.28E-6 0.33569263
65 1.3E-6 0.33164814
66 1.32E-6 0.31951467
67 1.34E-6 0.30333671
68 1.36E-6 0.29929222
69 1.38E-6 0.25884733
70 1.4E-6 0.2305359
71 1.42E-6 0.19009101
72 1.44E-6 0.16582407
73 1.46E-6 0.19817998
74 1.48E-6 0.21031345
75 1.5E-6 0.14155713
76 1.52E-6 0.12133468
77 1.54E-6 0.0768453
78 1.56E-6 0.080889789
79 1.58E-6 0.056622853
80 1.6E-6 0.088978768
81 1.62E-6 0.064711832
82 1.64E-6 0.048533874
83 1.66E-6 0.044489384
84 1.68E-6 0.032355916
85 1.7E-6 0.068756321
86 1.72E-6 0.056622853
87 1.74E-6 0.064711832
88 1.76E-6 0.060667342
89 1.78E-6 0.084934279
90 1.8E-6 0.10111224
91 1.82E-6 0.12942366
92 1.84E-6 0.1536906
93 1.86E-6 0.16177958
94 1.88E-6 0.17391305
95 1.9E-6 0.18604652
96 1.92E-6 0.20626896
97 1.94E-6 0.22649141
98 1.96E-6 0.24671386
99 1.98E-6 0.25075835
100 2E-6 0.2669363
101 2.02E-6 0.29929222
